,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699,0700
0101,0.000,0.119,0.184,0.434,0.337,0.476,0.392,0.644,0.479,0.251,0.318,0.478,0.388,0.329,0.593,0.254,0.336,0.490,0.483,0.484,0.625,0.739,0.489,0.845,0.572,0.752,0.847,0.386,0.398,0.428,0.611,0.675,0.617,0.543,0.538,0.695,0.480,0.690,0.534,0.579,0.650,1.000
0102,0.119,0.000,0.463,0.594,0.492,0.292,0.499,0.722,0.518,0.273,0.333,0.481,0.401,0.274,0.360,0.130,0.497,0.304,0.313,0.234,0.593,0.619,0.305,0.726,0.536,0.644,0.828,0.297,0.456,0.650,0.702,0.662,0.749,0.605,0.323,0.704,0.629,0.510,0.592,0.559,0.687,1.000
0103,0.184,0.463,0.000,0.286,0.439,0.553,0.566,0.620,0.636,0.326,0.404,0.409,0.316,0.454,0.684,0.479,0.450,0.499,0.493,0.912,0.658,0.418,0.513,1.000,0.783,0.871,1.000,0.702,0.801,0.456,0.799,1.000,1.000,1.000,0.709,0.754,0.753,1.000,0.721,0.740,0.737,1.000
0104,0.434,0.594,0.286,0.000,0.376,0.288,0.326,0.864,0.613,0.440,0.397,0.220,0.263,0.334,0.337,0.599,0.467,0.332,0.355,0.512,0.253,0.202,0.331,0.757,0.206,0.457,0.540,0.732,0.632,0.684,0.825,0.856,0.821,0.824,0.877,0.634,0.509,1.000,0.846,0.639,1.000,1.000
0105,0.337,0.492,0.439,0.376,0.000,0.265,0.101,0.693,0.336,0.359,0.540,0.556,0.633,0.602,0.575,0.553,0.192,0.529,0.494,0.633,0.667,0.526,0.528,1.000,0.303,0.483,1.000,0.796,0.748,0.664,0.641,0.806,0.838,0.449,1.000,0.800,0.378,0.872,0.861,0.422,0.785,1.000
0106,0.476,0.292,0.553,0.288,0.265,0.000,0.196,0.195,0.502,0.455,0.544,0.399,0.291,0.265,0.217,0.281,0.444,0.111,0.141,0.260,0.328,0.342,0.112,0.460,0.215,0.168,0.227,0.383,0.640,0.666,0.722,0.810,0.914,0.720,0.743,0.632,0.540,0.834,0.681,0.547,0.770,1.000
0107,0.392,0.499,0.566,0.326,0.101,0.196,0.000,0.710,0.373,0.464,0.697,0.431,0.563,0.576,0.459,0.551,0.255,0.488,0.458,0.558,0.711,0.445,0.484,1.000,0.219,0.423,0.743,0.811,0.573,0.665,0.623,0.821,0.782,0.532,1.000,0.657,0.521,0.884,0.873,0.427,0.800,1.000
0199,0.644,0.722,0.620,0.864,0.693,0.195,0.710,0.000,0.824,0.657,0.689,1.000,0.671,0.833,0.591,0.757,0.728,0.692,0.680,0.787,0.863,0.710,0.673,1.000,1.000,1.000,1.000,0.788,0.795,0.708,1.000,0.827,1.000,1.000,1.000,1.000,0.699,0.756,0.741,1.000,0.596,1.000
0201,0.479,0.518,0.636,0.613,0.336,0.502,0.373,0.824,0.000,0.406,0.301,0.453,0.374,0.577,0.503,0.590,0.358,0.692,0.657,0.644,0.907,1.000,0.686,0.873,0.429,1.000,1.000,0.775,0.428,0.644,0.460,0.643,0.549,0.299,0.661,0.599,0.467,0.879,0.660,0.145,0.529,1.000
0202,0.251,0.273,0.326,0.440,0.359,0.455,0.464,0.657,0.406,0.000,0.106,0.498,0.375,0.173,0.531,0.127,0.295,0.425,0.454,0.647,0.498,0.555,0.447,0.743,0.434,0.698,0.842,0.495,0.642,0.776,0.906,0.805,1.000,0.812,0.699,0.385,0.722,0.777,0.794,0.426,0.706,1.000
0203,0.318,0.333,0.404,0.397,0.540,0.544,0.697,0.689,0.301,0.106,0.000,0.349,0.295,0.319,0.512,0.199,0.333,0.516,0.547,0.792,0.600,0.681,0.518,0.886,0.513,0.662,0.829,0.638,0.539,0.892,0.768,0.832,0.861,0.564,0.855,0.207,0.825,0.892,1.000,0.605,0.812,1.000
0204,0.478,0.481,0.409,0.220,0.556,0.399,0.431,1.000,0.453,0.498,0.349,0.000,0.192,0.255,0.281,0.639,0.505,0.388,0.387,0.550,0.672,0.342,0.396,0.804,0.395,0.704,0.577,0.705,0.554,0.736,0.610,0.874,0.771,1.000,1.000,0.493,1.000,1.000,1.000,0.859,1.000,1.000
0205,0.388,0.401,0.316,0.263,0.633,0.291,0.563,0.671,0.374,0.375,0.295,0.192,0.000,0.142,0.109,0.384,0.413,0.315,0.372,0.452,0.457,0.437,0.314,0.762,0.334,0.585,0.684,0.649,0.603,0.840,0.807,0.897,0.868,1.000,1.000,0.436,0.892,1.000,0.828,0.780,0.746,1.000
0206,0.329,0.274,0.454,0.334,0.602,0.265,0.576,0.833,0.577,0.173,0.319,0.255,0.142,0.000,0.087,0.143,0.470,0.242,0.299,0.405,0.316,0.345,0.245,0.661,0.311,0.525,0.665,0.458,0.655,0.783,1.000,1.000,1.000,1.000,1.000,0.559,0.775,0.826,1.000,0.682,1.000,1.000
