ID,Name,Disciplines,Projects,Organisations,Publications
c6cd2474-d3c9-44b2-a3a7-9985e5f56776,Julie Domen,['03030309'],[],['f98fa28e-999d-4f18-8421-98a71d3e1f4a'],"['9fea081c-0095-40a5-9055-7ef2d9d582da', '16398c2b-2051-48dd-99e9-8ed6a16b51b7']"
f104a5fb-cb48-4a54-ba29-7b6e4aa4c900,Stijn ROOSE,"['03040599', '03012602', '03022602', '03040504']",[],"['172ee4c2-42bc-4e59-93f2-91f28a162f2a', 'b4b0de57-795f-464c-8fb7-77ca0e391ae4', '07fce545-f735-4a6b-9b40-02814a257bca']",[]
7be4510b-6b5b-4ae6-82ff-8e7586db4736,Peter Maenhout,['04010308'],['dbd3416a-ebc0-4cf2-b1f0-d8d94e61c18e'],['87ee97ad-44b1-4145-87f7-70d33a2c6c13'],"['ca77bf80-bdc7-4fea-8d6b-04241808ec5e', 'd3d8d3c0-3e6c-4456-ad92-b837de3f4ae6']"
9f3af23b-a88d-407b-9e12-21dcdae6fb9f,Thomas Decorte,"['05020201', '05020616']",['74b4de67-0eaa-4f51-9c1a-b4f3f608c898'],['86f8abb8-b972-41fd-9a1e-37758cfd4d06'],[]
3869eb85-4ab1-466a-b62c-b520a12ed44f,ERROR,ERROR,ERROR,ERROR,ERROR
6c08b835-a18e-40cf-b414-86f7696fe669,Kelly Wittemans,['02990103'],[],['f74d3c9c-2f54-4b95-9b41-61afcfe2a878'],[]
91e32522-ca61-4c49-b872-b247ec82c41f,Jonathan Van Beek,"['02990103', '04010801', '01050607', '02080403', '02990105', '01020905', '02990104', '04010299']","['d0e89663-eaa1-4c4e-a28a-889bbe805208', '6ea696a5-9716-4464-a3c1-cc2e467e4ec9', '4de5cd8e-4c05-4380-97fc-8a73f259a1af']",['1a11d77a-b37c-4555-a71f-6200b07c7bc4'],[]
e270d3c2-10e5-4eae-a866-9dfa336de93b,Jonas De Kerf,['05020604'],['8bee680d-6e66-4955-993a-5917e1a8c33f'],['1955a1e3-72a5-4cdc-b3b3-704c1a8f4cc1'],[]
186df6b5-fdfd-441c-887e-127ff09c6ca0,Wim Verlinde,['02050501'],['9875d18a-05b4-4130-8ed2-fcf561798757'],['205d5301-1746-4b8b-a8d0-f55483abb1a1'],[]
5cdf6bb8-f125-4a62-bb99-b6d6f5721a58,Enrico Miglietta,['06040299'],[],['26472cb7-8b0d-49f4-8b25-a5b75d37a4c0'],[]
