ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
5f858444-112b-41f3-8e52-e098410cfc1b,Where heaven meets earth: An interdisciplinary project to unravel the experience of ‘grace’,2018-01-01Z,2020-12-31Z,['050110'],"['0fd1b46d-251b-422b-8625-5e8cb4c84f4a', '4f9cfee3-89a7-4592-ab28-a865b2c6ca2b']","['92d2bf5e-f663-42be-bedd-2fd93cb63150', '53bde287-db3d-415b-88a2-27fc80830745']",[],1
1b62b833-1aa2-4cb5-b6ae-77efb01d6835,Community-embedded reproductive health care for adolescents in Latin America,2010-03-01Z,2014-04-30Z,"['030109', '030609', '030612', '030112', '030403', '030212', '030209']",['6d97da87-ef5d-4c4b-8780-3494d2c7f6d7'],['ec3fb2ea-b841-4e5d-9c1e-d981d848e48b'],['aa97006f-a283-495d-98fa-1ee1a7961692'],1
b20228cd-4713-4e27-b6a2-c8e6ac73a620,Ports Observatory for Performance Indicator Analysis (PORTOPIA).,2013-09-01Z,2017-11-30Z,"['050203', '050502']","['eef955ad-bf89-4257-8594-d8ba35949f7d', 'eef955ad-bf89-4257-8594-d8ba35949f7d']","['e8028a25-2e74-45c7-a64c-fb1f5faa4626', '85c7aea7-5169-44e7-a65d-8e9b8a5794ba']",[],1
1b9948f3-bf2f-46f9-ac51-38eaeb080569,Impact of Public Service Broadcasting,2016-03-10Z,2016-09-16Z,"['050801', '050803', '050805', '050899']",['53351dc1-9dcb-4d5e-aaba-86ec1bb9fdaa'],['6941c292-6be5-46b9-97ee-0ee2c774c585'],[],1
5233c7d1-cad8-4e9d-81dd-cabd234d7104,The interactions between the brain and MMP8 and MMP3 in systemic inflammation,2012-01-01Z,2017-12-31Z,"['030614', '030623', '050106', '030114', '030123', '050105', '050103', '030223', '030214']",['a80f2928-696c-47b5-a559-19f67edd6b28'],['0053b9e1-b5be-40f7-acc7-16b65e968727'],[],1
6cfb9340-f591-424d-b656-4dd3aed2a79f,R&amp;D towards a High Rate Particle Detector for the CMS Experiment at the LHC,2013-01-01Z,2018-12-31Z,['010699'],['cdf9d2ad-71d4-42a1-8f0a-465a408141f9'],['3d80f44d-a6bd-4650-a26f-a7d882b99d2b'],[],1
f1ca1f11-5cd6-45b6-9450-5c68bd844f0f,"Ways of regeneration, reutilisation and study of new activated carbons for the production of high quality Cuba Rums: development of a new sound spectral technique to determine AC characteristics.",2015-01-01Z,2016-12-31Z,"['010407', '010701', '010703']","['e947ad15-5ce0-43bb-b0a0-c4e21f4ceab0', '9cd98cad-da13-437e-baa6-8dd8f9cd5f77', '49348f36-1909-42a4-8dc9-bba90d70d498']","['13fbd03c-c5d4-4142-8535-2ce7040598b2', 'ba8148c1-41ad-42ca-adc5-bfc1bf5bb90d', '13fbd03c-c5d4-4142-8535-2ce7040598b2']",[],1
1e5b93aa-6bbf-41b4-9046-890e2a962252,Laser and decay spectroscopy of neutron-deficient radioactive nuclei in the lead region (Z&#61;82).,2014-01-01Z,2017-12-31Z,['010304'],"['22d49ab9-5a40-49ab-aa7a-1cfedc41d9f3', '9472009e-7cc7-47b3-b25b-0c6769e9c41c']","['2fb7700c-4538-497d-a389-45e2d57e8d0a', '2fb7700c-4538-497d-a389-45e2d57e8d0a']",[],1
e40b9281-52b5-4655-bcc4-fa34d27284d4,Gender and depression in Europe. Anlayzing gender differences in depression from a cross-national comparative perspective,2007-01-01Z,2013-01-15Z,"['030301', '050405', '030303', '050499', '030302', '050409']",['6f6e9b64-01c6-4d6a-9610-56bf664c6a56'],['871a87f8-68e5-43e5-a947-0d11cdb3a0c6'],[],1
a4bf3b92-16e3-4c96-9f77-cff76c55c48b,Legal and policy advice regarding recreational shipping and its surounding environment,2012-01-09Z,2012-10-15Z,['050502'],['ce87e17f-9086-4243-b107-16b8105744cc'],['d2b5e5af-cda1-4dfa-84de-e0938fb77ea8'],[],1
