,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699
0101,0.000,0.154,0.212,0.515,0.379,0.531,0.392,0.651,0.526,0.319,0.353,0.579,0.442,0.398,0.709,0.306,0.375,0.526,0.527,0.500,0.689,0.710,0.528,0.862,0.644,0.764,0.796,0.437,0.387,0.439,0.662,0.670,0.699,0.652,0.620,0.732,0.609,0.715,0.601,0.680,0.715
0102,0.154,0.000,0.450,0.645,0.457,0.336,0.457,0.646,0.560,0.287,0.359,0.535,0.454,0.306,0.422,0.183,0.476,0.357,0.365,0.302,0.590,0.607,0.364,0.713,0.511,0.650,0.792,0.346,0.420,0.592,0.657,0.634,0.729,0.697,0.397,0.727,0.633,0.491,0.609,0.551,0.710
0103,0.212,0.450,0.000,0.279,0.431,0.538,0.544,0.602,0.684,0.343,0.433,0.425,0.335,0.477,0.670,0.435,0.500,0.513,0.507,1.000,0.638,0.414,0.530,1.000,0.880,0.826,1.000,0.688,0.794,0.473,1.000,1.000,1.000,1.000,0.759,1.000,0.857,1.000,0.688,0.795,0.782
0104,0.515,0.645,0.279,0.000,0.452,0.312,0.357,0.796,0.695,0.420,0.462,0.212,0.262,0.337,0.336,0.577,0.525,0.361,0.408,0.588,0.295,0.244,0.361,0.735,0.252,0.509,0.563,0.756,0.726,0.701,0.833,0.888,0.861,1.000,1.000,0.666,0.655,1.000,0.818,0.622,1.000
0105,0.379,0.457,0.431,0.452,0.000,0.280,0.123,0.561,0.338,0.390,0.529,0.556,0.611,0.602,0.528,0.487,0.211,0.576,0.542,0.718,0.695,0.616,0.566,1.000,0.310,0.467,1.000,0.750,0.677,0.763,0.626,0.722,0.807,0.562,0.799,0.681,0.439,0.842,1.000,0.447,1.000
0106,0.531,0.336,0.538,0.312,0.280,0.000,0.200,0.241,0.515,0.459,0.582,0.430,0.329,0.272,0.223,0.318,0.438,0.137,0.183,0.290,0.348,0.363,0.142,0.456,0.224,0.206,0.256,0.469,0.666,0.692,0.681,0.766,0.888,0.757,0.777,0.605,0.557,0.860,0.661,0.535,0.840
0107,0.392,0.457,0.544,0.357,0.123,0.200,0.000,0.533,0.380,0.462,0.643,0.414,0.546,0.643,0.421,0.528,0.256,0.511,0.482,0.521,0.744,0.518,0.510,1.000,0.221,0.410,0.604,0.712,0.514,0.619,0.528,0.744,0.706,0.534,0.744,0.784,0.518,0.860,0.848,0.434,0.768
0199,0.651,0.646,0.602,0.796,0.561,0.241,0.533,0.000,0.762,0.662,0.772,0.753,0.648,0.757,0.526,0.616,0.520,0.650,0.623,0.705,0.787,0.621,0.599,1.000,0.772,1.000,0.653,0.703,0.712,0.668,0.763,0.756,1.000,1.000,0.571,0.667,0.657,0.759,0.744,1.000,0.561
0201,0.526,0.560,0.684,0.695,0.338,0.515,0.380,0.762,0.000,0.427,0.334,0.498,0.373,0.693,0.505,0.536,0.333,0.758,0.776,0.722,0.886,0.794,0.762,1.000,0.464,1.000,1.000,0.720,0.456,0.686,0.431,0.618,0.519,0.338,0.669,0.555,0.458,0.799,0.657,0.153,0.580
