,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699
0101,0.000,0.250,0.361,0.743,0.487,0.531,0.549,0.446,0.516,0.538,0.535,0.789,0.675,0.726,0.762,0.531,0.597,0.683,0.651,0.485,0.721,0.637,0.687,0.737,0.542,0.732,0.962,0.471,0.388,0.569,0.702,0.875,0.836,0.598,0.673,0.683,0.654,0.834,0.898,0.712,0.896
0102,0.250,0.000,0.341,0.669,0.393,0.568,0.486,0.586,0.581,0.319,0.436,0.771,0.631,0.543,0.729,0.347,0.517,0.543,0.560,0.577,0.508,0.615,0.558,0.683,0.640,0.779,0.828,0.561,0.441,0.644,0.630,0.598,0.753,0.703,0.485,0.685,0.724,0.516,0.949,0.613,0.679
0103,0.361,0.341,0.000,0.300,0.363,0.619,0.492,0.428,0.746,0.434,0.541,0.479,0.359,0.633,0.662,0.469,0.544,0.569,0.660,0.730,0.812,0.568,0.603,0.889,0.848,0.754,0.887,0.825,0.662,0.612,0.974,1.000,0.973,0.932,0.937,0.962,0.734,1.000,0.872,0.787,0.838
0104,0.743,0.669,0.300,0.000,0.505,0.412,0.450,0.520,0.737,0.474,0.603,0.277,0.343,0.464,0.425,0.621,0.602,0.434,0.552,0.678,0.609,0.311,0.464,0.681,0.445,0.579,0.554,0.748,0.804,0.775,0.926,0.982,0.983,1.000,0.903,1.000,0.679,1.000,0.856,0.847,0.983
0105,0.487,0.393,0.363,0.505,0.000,0.425,0.365,0.664,0.419,0.677,0.648,0.667,0.528,0.700,0.610,0.684,0.462,0.777,0.896,0.809,0.921,0.798,0.770,0.975,0.555,0.752,0.862,0.913,0.633,0.668,0.679,0.964,0.858,0.487,1.000,0.899,0.465,0.865,1.000,0.616,0.734
0106,0.531,0.568,0.619,0.412,0.425,0.000,0.312,0.493,0.716,0.623,0.717,0.594,0.558,0.367,0.378,0.578,0.648,0.260,0.408,0.511,0.530,0.396,0.269,0.525,0.300,0.385,0.519,0.536,0.695,0.626,0.677,0.831,0.853,0.806,0.736,0.923,0.681,0.953,0.705,0.705,0.928
0107,0.549,0.486,0.492,0.450,0.365,0.312,0.000,0.578,0.571,0.539,0.708,0.559,0.662,0.533,0.452,0.655,0.511,0.646,0.653,0.660,0.861,0.644,0.664,0.895,0.341,0.485,0.650,0.817,0.455,0.633,0.637,0.712,0.678,0.479,0.666,0.758,0.614,0.930,0.981,0.577,0.877
0199,0.446,0.586,0.428,0.520,0.664,0.493,0.578,0.000,0.755,0.708,0.691,0.673,0.701,0.600,0.621,0.647,0.741,0.657,0.711,0.885,0.820,0.768,0.641,0.933,0.680,0.705,0.910,0.782,0.834,0.852,0.781,1.000,0.819,0.775,1.000,0.986,1.000,1.000,0.767,0.768,1.000
0201,0.516,0.581,0.746,0.737,0.419,0.716,0.571,0.755,0.000,0.542,0.457,0.701,0.415,0.757,0.645,0.597,0.417,0.811,0.835,0.641,0.696,0.956,0.901,0.893,0.596,0.861,0.613,0.684,0.407,0.734,0.562,0.817,0.704,0.447,0.582,0.437,0.543,0.830,0.765,0.239,0.573
0202,0.538,0.319,0.434,0.474,0.677,0.623,0.539,0.708,0.542,0.000,0.228,0.576,0.465,0.493,0.566,0.326,0.372,0.539,0.632,0.682,0.525,0.586,0.560,0.710,0.631,0.744,0.906,0.573,0.590,0.636,0.670,0.734,0.722,0.638,0.511,0.724,0.878,0.687,0.802,0.606,0.752
0203,0.535,0.436,0.541,0.603,0.648,0.717,0.708,0.691,0.457,0.228,0.000,0.445,0.351,0.548,0.690,0.449,0.265,0.501,0.674,0.708,0.561,0.718,0.518,0.798,0.756,0.776,1.000,0.745,0.614,0.703,0.722,0.863,0.871,0.760,0.932,0.573,0.985,0.945,0.981,0.780,0.971
0204,0.789,0.771,0.479,0.277,0.667,0.594,0.559,0.673,0.701,0.576,0.445,0.000,0.367,0.598,0.336,0.688,0.493,0.648,0.787,0.872,0.771,0.495,0.599,0.827,0.556,0.842,0.910,0.906,0.745,0.880,0.988,1.000,0.960,0.975,1.000,1.000,0.736,0.828,1.000,1.000,1.000
0205,0.675,0.631,0.359,0.343,0.528,0.558,0.662,0.701,0.415,0.465,0.351,0.367,0.000,0.473,0.504,0.613,0.469,0.540,0.696,0.745,0.677,0.602,0.524,0.711,0.607,0.962,0.964,0.906,0.736,0.884,1.000,1.000,1.000,0.997,0.944,0.850,0.608,1.000,0.881,0.733,1.000
0206,0.726,0.543,0.633,0.464,0.700,0.367,0.533,0.600,0.757,0.493,0.548,0.598,0.473,0.000,0.340,0.496,0.681,0.374,0.519,0.657,0.443,0.497,0.371,0.640,0.389,0.657,0.825,0.623,0.832,0.653,0.927,0.888,0.986,0.989,0.873,0.902,0.980,0.942,0.813,0.785,0.951
0207,0.762,0.729,0.662,0.425,0.610,0.378,0.452,0.621,0.645,0.566,0.690,0.336,0.504,0.340,0.000,0.514,0.674,0.501,0.672,0.758,0.621,0.654,0.516,0.715,0.297,0.601,0.690,0.829,0.639,0.771,0.969,1.000,0.828,0.840,1.000,0.899,1.000,1.000,0.898,0.794,0.984
0208,0.531,0.347,0.469,0.621,0.684,0.578,0.655,0.647,0.597,0.326,0.449,0.688,0.613,0.496,0.514,0.000,0.537,0.535,0.607,0.656,0.589,0.676,0.573,0.726,0.441,0.612,0.863,0.604,0.550,0.720,0.752,0.810,0.895,0.615,0.614,0.744,0.844,0.851,0.960,0.784,0.897
0299,0.597,0.517,0.544,0.602,0.462,0.648,0.511,0.741,0.417,0.372,0.265,0.493,0.469,0.681,0.674,0.537,0.000,0.699,0.687,0.777,0.754,0.739,0.633,0.927,0.647,0.877,0.932,0.730,0.625,0.803,0.776,0.826,0.920,0.627,0.713,0.581,0.666,0.964,0.905,0.637,0.722
0301,0.683,0.543,0.569,0.434,0.777,0.260,0.646,0.657,0.811,0.539,0.501,0.648,0.540,0.374,0.501,0.535,0.699,0.000,0.259,0.382,0.298,0.309,0.162,0.394,0.597,0.535,0.661,0.360,0.741,0.545,0.647,0.891,0.908,0.943,0.815,0.956,0.907,0.784,0.792,0.859,0.978
0302,0.651,0.560,0.660,0.552,0.896,0.408,0.653,0.711,0.835,0.632,0.674,0.787,0.696,0.519,0.672,0.607,0.687,0.259,0.000,0.375,0.382,0.392,0.309,0.430,0.661,0.618,0.729,0.568,0.816,0.638,0.736,0.856,0.834,0.905,0.870,0.802,0.902,0.957,0.793,0.888,0.898
0303,0.485,0.577,0.730,0.678,0.809,0.511,0.660,0.885,0.641,0.682,0.708,0.872,0.745,0.657,0.758,0.656,0.777,0.382,0.375,0.000,0.433,0.507,0.411,0.537,0.663,0.793,0.892,0.366,0.579,0.484,0.436,0.567,0.642,0.663,0.651,0.632,0.901,0.678,0.577,0.732,0.972
0304,0.721,0.508,0.812,0.609,0.921,0.530,0.861,0.820,0.696,0.525,0.561,0.771,0.677,0.443,0.621,0.589,0.754,0.298,0.382,0.433,0.000,0.540,0.309,0.473,0.509,0.725,0.656,0.378,0.709,0.326,0.685,0.814,0.750,0.840,0.807,0.783,0.910,0.759,0.812,0.766,0.889
0305,0.637,0.615,0.568,0.311,0.798,0.396,0.644,0.768,0.956,0.586,0.718,0.495,0.602,0.497,0.654,0.676,0.739,0.309,0.392,0.507,0.540,0.000,0.339,0.552,0.562,0.540,0.652,0.535,0.950,0.869,0.912,0.570,0.928,0.933,0.877,0.966,1.000,0.956,0.696,0.879,1.000
0306,0.687,0.558,0.603,0.464,0.770,0.269,0.664,0.641,0.901,0.560,0.518,0.599,0.524,0.371,0.516,0.573,0.633,0.162,0.309,0.411,0.309,0.339,0.000,0.418,0.628,0.626,0.696,0.401,0.794,0.545,0.694,0.908,0.902,0.938,0.845,0.997,0.926,0.973,0.829,0.906,1.000
0399,0.737,0.683,0.889,0.681,0.975,0.525,0.895,0.933,0.893,0.710,0.798,0.827,0.711,0.640,0.715,0.726,0.927,0.394,0.430,0.537,0.473,0.552,0.418,0.000,0.810,0.614,0.827,0.754,0.847,0.721,0.777,0.911,0.905,0.834,0.956,0.974,0.918,0.977,0.962,0.970,0.995
0401,0.542,0.640,0.848,0.445,0.555,0.300,0.341,0.680,0.596,0.631,0.756,0.556,0.607,0.389,0.297,0.441,0.647,0.597,0.661,0.663,0.509,0.562,0.628,0.810,0.000,0.325,0.319,0.808,0.407,0.600,0.625,0.841,0.625,0.552,0.907,0.985,0.813,1.000,0.789,0.620,0.830
0402,0.732,0.779,0.754,0.579,0.752,0.385,0.485,0.705,0.861,0.744,0.776,0.842,0.962,0.657,0.601,0.612,0.877,0.535,0.618,0.793,0.725,0.540,0.626,0.614,0.325,0.000,0.333,0.894,0.778,0.709,0.933,0.972,0.942,1.000,0.734,1.000,1.000,1.000,0.798,0.935,1.000
0499,0.962,0.828,0.887,0.554,0.862,0.519,0.650,0.910,0.613,0.906,1.000,0.910,0.964,0.825,0.690,0.863,0.932,0.661,0.729,0.892,0.656,0.652,0.696,0.827,0.319,0.333,0.000,0.953,0.762,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.985,1.000
0501,0.471,0.561,0.825,0.748,0.913,0.536,0.817,0.782,0.684,0.573,0.745,0.906,0.906,0.623,0.829,0.604,0.730,0.360,0.568,0.366,0.378,0.535,0.401,0.754,0.808,0.894,0.953,0.000,0.458,0.281,0.435,0.640,0.594,0.786,0.475,0.645,0.849,0.518,0.660,0.623,0.761
0502,0.388,0.441,0.662,0.804,0.633,0.695,0.455,0.834,0.407,0.590,0.614,0.745,0.736,0.832,0.639,0.550,0.625,0.741,0.816,0.579,0.709,0.950,0.794,0.847,0.407,0.778,0.762,0.458,0.000,0.532,0.366,0.411,0.397,0.340,0.477,0.421,0.598,0.871,0.581,0.654,0.658
