,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699
0101,0.000,0.281,0.383,0.738,0.539,0.485,0.529,0.494,0.537,0.554,0.544,0.817,0.688,0.696,0.721,0.514,0.584,0.599,0.610,0.420,0.728,0.629,0.638,0.752,0.582,0.680,0.845,0.491,0.401,0.583,0.637,0.775,0.852,0.651,0.699,0.718,0.694,0.732,0.800,0.740,0.902
0102,0.281,0.000,0.399,0.650,0.477,0.531,0.544,0.603,0.577,0.316,0.440,0.734,0.625,0.527,0.712,0.325,0.463,0.516,0.533,0.532,0.519,0.622,0.537,0.671,0.571,0.777,0.819,0.518,0.436,0.591,0.655,0.558,0.759,0.642,0.472,0.685,0.599,0.441,0.620,0.572,0.650
0103,0.383,0.399,0.000,0.305,0.416,0.617,0.528,0.462,0.753,0.381,0.509,0.463,0.378,0.656,0.692,0.459,0.541,0.572,0.684,0.706,0.811,0.607,0.603,0.886,0.764,0.833,0.931,0.763,0.713,0.619,0.957,1.000,0.987,0.888,0.873,0.921,0.739,0.988,0.911,0.776,0.877
0104,0.738,0.650,0.305,0.000,0.541,0.423,0.446,0.527,0.713,0.477,0.561,0.260,0.321,0.472,0.423,0.633,0.620,0.441,0.571,0.706,0.639,0.337,0.466,0.712,0.445,0.628,0.588,0.782,0.635,0.793,0.897,0.927,0.945,0.881,0.733,0.803,0.636,0.730,0.772,0.722,0.835
0105,0.539,0.477,0.416,0.541,0.000,0.432,0.366,0.698,0.440,0.676,0.643,0.587,0.501,0.706,0.622,0.659,0.495,0.703,0.884,0.744,0.852,0.790,0.704,0.958,0.490,0.760,0.843,0.889,0.666,0.665,0.645,0.898,0.868,0.475,0.676,0.805,0.400,0.610,0.836,0.569,0.732
0106,0.485,0.531,0.617,0.423,0.432,0.000,0.305,0.494,0.677,0.601,0.673,0.553,0.565,0.373,0.383,0.540,0.639,0.267,0.405,0.502,0.517,0.410,0.292,0.524,0.278,0.378,0.520,0.564,0.594,0.658,0.668,0.770,0.865,0.729,0.645,0.796,0.690,0.965,0.716,0.713,0.898
0107,0.529,0.544,0.528,0.446,0.366,0.305,0.000,0.597,0.530,0.559,0.665,0.528,0.668,0.590,0.455,0.605,0.522,0.616,0.644,0.589,0.796,0.611,0.645,0.900,0.300,0.493,0.616,0.827,0.452,0.634,0.630,0.732,0.692,0.480,0.536,0.679,0.564,0.740,0.873,0.559,0.833
0199,0.494,0.603,0.462,0.527,0.698,0.494,0.597,0.000,0.791,0.711,0.739,0.630,0.715,0.631,0.655,0.676,0.770,0.632,0.709,0.876,0.801,0.786,0.633,0.918,0.670,0.743,0.931,0.837,0.827,0.813,0.840,1.000,0.840,0.777,1.000,0.814,0.955,1.000,0.832,0.789,0.965
0201,0.537,0.577,0.753,0.713,0.440,0.677,0.530,0.791,0.000,0.500,0.452,0.659,0.381,0.735,0.617,0.574,0.431,0.743,0.820,0.638,0.679,0.952,0.790,0.856,0.605,0.833,0.716,0.581,0.408,0.675,0.529,0.701,0.673,0.457,0.582,0.473,0.552,0.850,0.789,0.254,0.621
