Loi,vods
c:vabb:306957,060302 Philosophy
c:vabb:306963,060203 Literary studies
c:vabb:306964,060203 Literary studies
c:vabb:306968,0506 Political sciences
c:vabb:306971,0505 Law and legal studies
c:vabb:306972,0303 Health sciences
c:vabb:306974,060202 Linguistics
c:vabb:306975,0507 Social and economic geography
c:vabb:306980,060304 Theology and religious studies
c:vabb:306981,0504 Sociology and anthropology
c:vabb:306983,0502 Economics and business
c:vabb:306987,0504 Sociology and anthropology
c:vabb:306989,0502 Economics and business
c:vabb:306991,0502 Economics and business
c:vabb:306993,0502 Economics and business
c:vabb:306994,0502 Economics and business
c:vabb:307002,0502 Economics and business
c:vabb:307002,0299 Other engineering and technology
c:vabb:307010,0506 Political sciences
c:vabb:307011,0506 Political sciences
c:vabb:307012,0506 Political sciences
c:vabb:307013,0502 Economics and business
c:vabb:307016,0502 Economics and business
c:vabb:307021,0506 Political sciences
c:vabb:307022,0506 Political sciences
c:vabb:307023,0506 Political sciences
c:vabb:307024,0502 Economics and business
c:vabb:307025,0502 Economics and business
c:vabb:307026,0504 Sociology and anthropology
c:vabb:307027,0507 Social and economic geography
c:vabb:307029,0504 Sociology and anthropology
c:vabb:307032,0502 Economics and business
c:vabb:307033,0502 Economics and business
c:vabb:307034,0502 Economics and business
c:vabb:307040,060104 History
c:vabb:307041,060104 History
c:vabb:307041,060202 Linguistics
c:vabb:307043,060104 History
c:vabb:307043,060202 Linguistics
c:vabb:307056,0399 Other medical and health sciences
c:vabb:307058,0306 Translational sciences
c:vabb:307060,0504 Sociology and anthropology
c:vabb:307060,0506 Political sciences
c:vabb:307069,0504 Sociology and anthropology
c:vabb:307071,0506 Political sciences
c:vabb:307072,0506 Political sciences
c:vabb:307073,0506 Political sciences
c:vabb:307093,0599 Other social sciences
c:vabb:307098,0502 Economics and business
c:vabb:307098,0299 Other engineering and technology
c:vabb:307103,0505 Law and legal studies
c:vabb:307105,0505 Law and legal studies
c:vabb:307106,0506 Political sciences
c:vabb:307113,0505 Law and legal studies
c:vabb:307117,0506 Political sciences
c:vabb:307120,0303 Health sciences
c:vabb:307122,0505 Law and legal studies
c:vabb:307129,0508 	Media and communications
c:vabb:307131,0502 Economics and business
c:vabb:307134,0505 Law and legal studies
c:vabb:307140,060302 Philosophy
c:vabb:307141,060302 Philosophy
c:vabb:307142,060302 Philosophy
c:vabb:307143,060302 Philosophy
c:vabb:307144,060302 Philosophy
c:vabb:307145,060302 Philosophy
c:vabb:307147,0505 Law and legal studies
c:vabb:307149,0505 Law and legal studies
c:vabb:307150,0505 Law and legal studies
c:vabb:307160,0505 Law and legal studies
c:vabb:307162,0508 	Media and communications
c:vabb:307164,0508 	Media and communications
c:vabb:307174,0503 Pedagogical and educational sciences
c:vabb:307177,0604 Arts
c:vabb:307178,0604 Arts
c:vabb:307186,060202 Linguistics
c:vabb:307187,0399 Other medical and health sciences
c:vabb:307188,0101 Mathematical sciences
c:vabb:307190,0102 Information and computing sciences
c:vabb:307190,0502 Economics and business
c:vabb:307190,0299 Other engineering and technology
c:vabb:307191,0299 Other engineering and technology
c:vabb:307200,0507 Social and economic geography
c:vabb:307203,0507 Social and economic geography
c:vabb:307206,0502 Economics and business
c:vabb:307208,0604 Arts
c:vabb:307210,0507 Social and economic geography
c:vabb:307211,0303 Health sciences
c:vabb:307214,0501 Psychology and cognitive sciences
c:vabb:307217,060203 Literary studies
c:vabb:307226,0506 Political sciences
c:vabb:307228,0503 Pedagogical and educational sciences
c:vabb:307232,060104 History
c:vabb:307234,0505 Law and legal studies
c:vabb:307250,0505 Law and legal studies
c:vabb:307253,0302 Clinical sciences
c:vabb:307253,0303 Health sciences
c:vabb:307256,060203 Literary studies
c:vabb:307257,060203 Literary studies
c:vabb:307262,0503 Pedagogical and educational sciences
c:vabb:307264,060202 Linguistics
c:vabb:307269,060202 Linguistics
c:vabb:307272,060104 History
c:vabb:307273,0504 Sociology and anthropology
c:vabb:307274,0504 Sociology and anthropology
c:vabb:307275,0504 Sociology and anthropology
c:vabb:307276,0604 Arts
c:vabb:307277,0503 Pedagogical and educational sciences
c:vabb:307285,"0499 Other agricultural, veterinary and food sciences"
c:vabb:307288,0508 	Media and communications
c:vabb:307289,0501 Psychology and cognitive sciences
c:vabb:307298,0699 Other humanities and the arts
c:vabb:307298,0504 Sociology and anthropology
c:vabb:307300,0506 Political sciences
c:vabb:307302,0103 Physical sciences
c:vabb:307305,060202 Linguistics
c:vabb:307305,060302 Philosophy
c:vabb:307306,060302 Philosophy
c:vabb:307307,060304 Theology and religious studies
c:vabb:307308,060202 Linguistics
c:vabb:307310,0502 Economics and business
c:vabb:307311,0505 Law and legal studies
c:vabb:307317,060202 Linguistics
c:vabb:307318,060104 History
c:vabb:307323,0505 Law and legal studies
c:vabb:307327,0505 Law and legal studies
c:vabb:307328,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:307329,0504 Sociology and anthropology
c:vabb:307329,0506 Political sciences
c:vabb:307338,0505 Law and legal studies
c:vabb:307339,0502 Economics and business
c:vabb:307342,0506 Political sciences
c:vabb:307344,0101 Mathematical sciences
c:vabb:307345,0102 Information and computing sciences
c:vabb:307348,0505 Law and legal studies
c:vabb:307351,060203 Literary studies
c:vabb:307353,060104 History
c:vabb:307358,0102 Information and computing sciences
c:vabb:307395,0505 Law and legal studies
c:vabb:307397,060104 History
c:vabb:307398,060104 History
c:vabb:307399,0505 Law and legal studies
c:vabb:307401,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:307402,060302 Philosophy
c:vabb:307405,0501 Psychology and cognitive sciences
c:vabb:307406,0508 	Media and communications
c:vabb:307407,0302 Clinical sciences
c:vabb:307408,0507 Social and economic geography
c:vabb:307411,0504 Sociology and anthropology
c:vabb:307412,0504 Sociology and anthropology
c:vabb:307420,0504 Sociology and anthropology
c:vabb:307420,0506 Political sciences
c:vabb:307421,0502 Economics and business
c:vabb:307425,0504 Sociology and anthropology
c:vabb:307426,0504 Sociology and anthropology
c:vabb:307427,0504 Sociology and anthropology
c:vabb:307431,060203 Literary studies
c:vabb:307438,0506 Political sciences
c:vabb:307439,0507 Social and economic geography
c:vabb:307440,0507 Social and economic geography
c:vabb:307444,0303 Health sciences
c:vabb:307445,0303 Health sciences
c:vabb:307447,0505 Law and legal studies
c:vabb:307456,0505 Law and legal studies
c:vabb:307458,060202 Linguistics
c:vabb:307464,060203 Literary studies
c:vabb:307466,0506 Political sciences
c:vabb:307468,060104 History
c:vabb:307469,060104 History
c:vabb:307486,0507 Social and economic geography
c:vabb:307486,0504 Sociology and anthropology
c:vabb:307487,0502 Economics and business
c:vabb:307498,060302 Philosophy
c:vabb:307499,0505 Law and legal studies
c:vabb:307500,0503 Pedagogical and educational sciences
c:vabb:307501,0506 Political sciences
c:vabb:307506,0302 Clinical sciences
c:vabb:307508,0502 Economics and business
c:vabb:307509,0201 Civil and building engineering
c:vabb:307510,0503 Pedagogical and educational sciences
c:vabb:307512,0506 Political sciences
c:vabb:307513,060104 History
c:vabb:307514,0303 Health sciences
c:vabb:307522,0505 Law and legal studies
c:vabb:307523,0508 	Media and communications
c:vabb:307524,0507 Social and economic geography
c:vabb:307527,0508 	Media and communications
c:vabb:307528,0502 Economics and business
c:vabb:307530,
c:vabb:307531,0599 Other social sciences
c:vabb:307532,0502 Economics and business
c:vabb:307534,0502 Economics and business
c:vabb:307541,0502 Economics and business
c:vabb:307542,0101 Mathematical sciences
c:vabb:307547,0502 Economics and business
c:vabb:307547,0507 Social and economic geography
c:vabb:307550,0101 Mathematical sciences
c:vabb:307552,0303 Health sciences
c:vabb:307556,0505 Law and legal studies
c:vabb:307560,0502 Economics and business
c:vabb:307561,0502 Economics and business
c:vabb:307562,0502 Economics and business
c:vabb:307563,0504 Sociology and anthropology
c:vabb:307567,0503 Pedagogical and educational sciences
c:vabb:307567,0303 Health sciences
c:vabb:307569,0504 Sociology and anthropology
c:vabb:307571,0101 Mathematical sciences
c:vabb:307581,0502 Economics and business
c:vabb:307584,0505 Law and legal studies
c:vabb:307585,0505 Law and legal studies
c:vabb:307586,0502 Economics and business
c:vabb:307601,0501 Psychology and cognitive sciences
c:vabb:307603,0501 Psychology and cognitive sciences
c:vabb:307607,0502 Economics and business
c:vabb:307608,060202 Linguistics
c:vabb:307609,0502 Economics and business
c:vabb:307610,0508 	Media and communications
c:vabb:307626,0502 Economics and business
c:vabb:307627,0503 Pedagogical and educational sciences
c:vabb:307630,0506 Political sciences
c:vabb:307630,0504 Sociology and anthropology
c:vabb:307632,0502 Economics and business
c:vabb:307637,0506 Political sciences
c:vabb:307648,0505 Law and legal studies
c:vabb:307649,0507 Social and economic geography
c:vabb:307650,0502 Economics and business
c:vabb:307651,0508 	Media and communications
c:vabb:307652,0508 	Media and communications
c:vabb:307653,0303 Health sciences
c:vabb:307654,0503 Pedagogical and educational sciences
c:vabb:307663,0505 Law and legal studies
c:vabb:307670,0501 Psychology and cognitive sciences
c:vabb:307673,060104 History
c:vabb:307674,0502 Economics and business
c:vabb:307675,0502 Economics and business
c:vabb:307680,060104 History
c:vabb:307682,0502 Economics and business
c:vabb:307684,0508 	Media and communications
c:vabb:307685,0502 Economics and business
c:vabb:307686,0506 Political sciences
c:vabb:307686,0504 Sociology and anthropology
c:vabb:307692,0505 Law and legal studies
c:vabb:307694,0505 Law and legal studies
c:vabb:307695,0505 Law and legal studies
c:vabb:307696,0505 Law and legal studies
c:vabb:307697,0303 Health sciences
c:vabb:307699,0502 Economics and business
c:vabb:307700,0502 Economics and business
c:vabb:307701,0503 Pedagogical and educational sciences
c:vabb:307702,0505 Law and legal studies
c:vabb:307703,0506 Political sciences
c:vabb:307704,060202 Linguistics
c:vabb:307705,0506 Political sciences
c:vabb:307706,0506 Political sciences
c:vabb:307707,0101 Mathematical sciences
c:vabb:307708,0101 Mathematical sciences
c:vabb:307712,0508 	Media and communications
c:vabb:307714,060203 Literary studies
c:vabb:307715,060203 Literary studies
c:vabb:307718,060203 Literary studies
c:vabb:307719,0508 	Media and communications
c:vabb:307721,0507 Social and economic geography
c:vabb:307722,0599 Other social sciences
c:vabb:307725,0506 Political sciences
c:vabb:307730,0504 Sociology and anthropology
c:vabb:307733,0102 Information and computing sciences
c:vabb:307733,0508 	Media and communications
c:vabb:307735,0507 Social and economic geography
c:vabb:307736,0302 Clinical sciences
c:vabb:307737,060104 History
c:vabb:307740,0101 Mathematical sciences
c:vabb:307741,0503 Pedagogical and educational sciences
c:vabb:307746,0505 Law and legal studies
c:vabb:307769,0502 Economics and business
c:vabb:307770,0502 Economics and business
c:vabb:307772,0506 Political sciences
c:vabb:307786,0504 Sociology and anthropology
c:vabb:307793,0505 Law and legal studies
c:vabb:307797,0303 Health sciences
c:vabb:307798,0504 Sociology and anthropology
c:vabb:307802,060202 Linguistics
c:vabb:307806,0502 Economics and business
c:vabb:307816,0502 Economics and business
c:vabb:307824,0101 Mathematical sciences
c:vabb:307825,0502 Economics and business
c:vabb:307827,060202 Linguistics
c:vabb:307828,060202 Linguistics
c:vabb:307830,"0499 Other agricultural, veterinary and food sciences"
c:vabb:307832,0503 Pedagogical and educational sciences
c:vabb:307839,0503 Pedagogical and educational sciences
c:vabb:307840,060203 Literary studies
c:vabb:307843,060203 Literary studies
c:vabb:307844,0502 Economics and business
c:vabb:307845,0502 Economics and business
c:vabb:307845,0505 Law and legal studies
c:vabb:307846,0502 Economics and business
c:vabb:307849,0508 	Media and communications
c:vabb:307852,0503 Pedagogical and educational sciences
c:vabb:307854,0505 Law and legal studies
c:vabb:307855,0505 Law and legal studies
c:vabb:307856,0504 Sociology and anthropology
c:vabb:307857,0504 Sociology and anthropology
c:vabb:307858,0504 Sociology and anthropology
c:vabb:307859,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:307859,0508 	Media and communications
c:vabb:307863,060202 Linguistics
c:vabb:307864,060202 Linguistics
c:vabb:307867,0502 Economics and business
c:vabb:307867,0507 Social and economic geography
c:vabb:307868,0507 Social and economic geography
c:vabb:307869,0507 Social and economic geography
c:vabb:307870,0502 Economics and business
c:vabb:307870,0507 Social and economic geography
c:vabb:307871,0502 Economics and business
c:vabb:307874,0504 Sociology and anthropology
c:vabb:307875,0104 Chemical sciences
c:vabb:307877,0508 	Media and communications
c:vabb:307878,0508 	Media and communications
c:vabb:307888,0102 Information and computing sciences
c:vabb:307889,0502 Economics and business
c:vabb:307890,0302 Clinical sciences
c:vabb:307896,0303 Health sciences
c:vabb:307897,0505 Law and legal studies
c:vabb:307899,0507 Social and economic geography
c:vabb:307899,0504 Sociology and anthropology
c:vabb:307900,0505 Law and legal studies
c:vabb:307901,060304 Theology and religious studies
c:vabb:307903,060304 Theology and religious studies
c:vabb:307904,0507 Social and economic geography
c:vabb:307904,0504 Sociology and anthropology
c:vabb:307907,060104 History
c:vabb:307908,0505 Law and legal studies
c:vabb:307909,0505 Law and legal studies
c:vabb:307910,0505 Law and legal studies
c:vabb:307912,0505 Law and legal studies
c:vabb:307917,0505 Law and legal studies
c:vabb:307918,060202 Linguistics
c:vabb:307919,0502 Economics and business
c:vabb:307921,0102 Information and computing sciences
c:vabb:307926,0505 Law and legal studies
c:vabb:307933,0502 Economics and business
c:vabb:307939,0505 Law and legal studies
c:vabb:307940,0505 Law and legal studies
c:vabb:307942,0604 Arts
c:vabb:307945,0502 Economics and business
c:vabb:307946,0502 Economics and business
c:vabb:307947,0502 Economics and business
c:vabb:307948,0502 Economics and business
c:vabb:307949,0502 Economics and business
c:vabb:307951,0505 Law and legal studies
c:vabb:307957,0102 Information and computing sciences
c:vabb:307959,060302 Philosophy
c:vabb:307961,060202 Linguistics
c:vabb:307962,060302 Philosophy
c:vabb:307964,0107 Environmental sciences
c:vabb:307965,0502 Economics and business
c:vabb:307972,0504 Sociology and anthropology
c:vabb:307973,0507 Social and economic geography
c:vabb:307974,0504 Sociology and anthropology
c:vabb:307975,0504 Sociology and anthropology
c:vabb:307979,0507 Social and economic geography
c:vabb:307983,"0499 Other agricultural, veterinary and food sciences"
c:vabb:307988,060203 Literary studies
c:vabb:307990,0506 Political sciences
c:vabb:307991,0502 Economics and business
c:vabb:307992,0502 Economics and business
c:vabb:307994,0604 Arts
c:vabb:307996,060203 Literary studies
c:vabb:307997,0505 Law and legal studies
c:vabb:307998,0505 Law and legal studies
c:vabb:307999,0506 Political sciences
c:vabb:307999,0504 Sociology and anthropology
c:vabb:308000,0506 Political sciences
c:vabb:308009,0502 Economics and business
c:vabb:308029,0505 Law and legal studies
c:vabb:308031,0101 Mathematical sciences
c:vabb:308034,060302 Philosophy
c:vabb:308038,0506 Political sciences
c:vabb:308041,0101 Mathematical sciences
c:vabb:308044,0604 Arts
c:vabb:308045,060104 History
c:vabb:308046,060104 History
c:vabb:308046,060202 Linguistics
c:vabb:308047,0503 Pedagogical and educational sciences
c:vabb:308048,0505 Law and legal studies
c:vabb:308049,0502 Economics and business
c:vabb:308049,0503 Pedagogical and educational sciences
c:vabb:308051,0505 Law and legal studies
c:vabb:308054,0505 Law and legal studies
c:vabb:308057,0505 Law and legal studies
c:vabb:308068,0504 Sociology and anthropology
c:vabb:308070,0504 Sociology and anthropology
c:vabb:308071,0504 Sociology and anthropology
c:vabb:308080,0508 	Media and communications
c:vabb:308081,0508 	Media and communications
c:vabb:308095,0507 Social and economic geography
c:vabb:308102,0505 Law and legal studies
c:vabb:308103,0505 Law and legal studies
c:vabb:308104,0505 Law and legal studies
c:vabb:308105,0505 Law and legal studies
c:vabb:308107,0306 Translational sciences
c:vabb:308107,0302 Clinical sciences
c:vabb:308111,0502 Economics and business
c:vabb:308112,0506 Political sciences
c:vabb:308119,060202 Linguistics
c:vabb:308121,0604 Arts
c:vabb:308134,0604 Arts
c:vabb:308136,0506 Political sciences
c:vabb:308137,060202 Linguistics
c:vabb:308138,060202 Linguistics
c:vabb:308139,0505 Law and legal studies
c:vabb:308140,0505 Law and legal studies
c:vabb:308141,060104 History
c:vabb:308145,060104 History
c:vabb:308146,0505 Law and legal studies
c:vabb:308147,0505 Law and legal studies
c:vabb:308150,0505 Law and legal studies
c:vabb:308177,0502 Economics and business
c:vabb:308178,060202 Linguistics
c:vabb:308179,0604 Arts
c:vabb:308181,0502 Economics and business
c:vabb:308187,0507 Social and economic geography
c:vabb:308188,0505 Law and legal studies
c:vabb:308190,060104 History
c:vabb:308191,060104 History
c:vabb:308192,060202 Linguistics
c:vabb:308193,0502 Economics and business
c:vabb:308201,0505 Law and legal studies
c:vabb:308203,0502 Economics and business
c:vabb:308206,0505 Law and legal studies
c:vabb:308207,0505 Law and legal studies
c:vabb:308214,0504 Sociology and anthropology
c:vabb:308215,060302 Philosophy
c:vabb:308216,060302 Philosophy
c:vabb:308217,060302 Philosophy
c:vabb:308218,060302 Philosophy
c:vabb:308228,0505 Law and legal studies
c:vabb:308237,0599 Other social sciences
c:vabb:308240,0502 Economics and business
c:vabb:308241,0505 Law and legal studies
c:vabb:308242,0505 Law and legal studies
c:vabb:308243,060104 History
c:vabb:308243,060202 Linguistics
c:vabb:308244,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:308249,0506 Political sciences
c:vabb:308251,0302 Clinical sciences
c:vabb:308251,0303 Health sciences
c:vabb:308252,0302 Clinical sciences
c:vabb:308252,0303 Health sciences
c:vabb:308253,0505 Law and legal studies
c:vabb:308255,0306 Translational sciences
c:vabb:308257,0303 Health sciences
c:vabb:308258,0302 Clinical sciences
c:vabb:308258,0303 Health sciences
c:vabb:308264,0508 	Media and communications
c:vabb:308282,0505 Law and legal studies
c:vabb:308285,0505 Law and legal studies
c:vabb:308295,0505 Law and legal studies
c:vabb:308297,0505 Law and legal studies
c:vabb:308299,0505 Law and legal studies
c:vabb:308300,0505 Law and legal studies
c:vabb:308307,0505 Law and legal studies
c:vabb:308309,0505 Law and legal studies
c:vabb:308311,0506 Political sciences
c:vabb:308315,0604 Arts
c:vabb:308319,0505 Law and legal studies
c:vabb:308324,0505 Law and legal studies
c:vabb:308326,060104 History
c:vabb:308329,060304 Theology and religious studies
c:vabb:308330,060203 Literary studies
c:vabb:308337,0501 Psychology and cognitive sciences
c:vabb:308349,0505 Law and legal studies
c:vabb:308350,0505 Law and legal studies
c:vabb:308351,0505 Law and legal studies
c:vabb:308352,0505 Law and legal studies
c:vabb:308362,0501 Psychology and cognitive sciences
c:vabb:308363,0505 Law and legal studies
c:vabb:308365,060202 Linguistics
c:vabb:308366,0505 Law and legal studies
c:vabb:308367,0505 Law and legal studies
c:vabb:308368,0502 Economics and business
c:vabb:308370,0505 Law and legal studies
c:vabb:308372,0504 Sociology and anthropology
c:vabb:308374,0505 Law and legal studies
c:vabb:308375,0505 Law and legal studies
c:vabb:308376,060104 History
c:vabb:308377,060104 History
c:vabb:308378,060104 History
c:vabb:308379,060302 Philosophy
c:vabb:308380,060104 History
c:vabb:308381,0505 Law and legal studies
c:vabb:308384,0201 Civil and building engineering
c:vabb:308386,0102 Information and computing sciences
c:vabb:308391,0504 Sociology and anthropology
c:vabb:308396,0505 Law and legal studies
c:vabb:308397,0502 Economics and business
c:vabb:308398,0102 Information and computing sciences
c:vabb:308403,060203 Literary studies
c:vabb:308404,060203 Literary studies
c:vabb:308405,060104 History
c:vabb:308406,060203 Literary studies
c:vabb:308410,0102 Information and computing sciences
c:vabb:308410,0508 	Media and communications
c:vabb:308411,060104 History
c:vabb:308412,060104 History
c:vabb:308413,060104 History
c:vabb:308415,060203 Literary studies
c:vabb:308416,0604 Arts
c:vabb:308417,060104 History
c:vabb:308418,060202 Linguistics
c:vabb:308419,0505 Law and legal studies
c:vabb:308421,060202 Linguistics
c:vabb:308423,060104 History
c:vabb:308442,0502 Economics and business
c:vabb:308443,0504 Sociology and anthropology
c:vabb:308445,0102 Information and computing sciences
c:vabb:308446,0502 Economics and business
c:vabb:308446,0507 Social and economic geography
c:vabb:308448,0505 Law and legal studies
c:vabb:308449,0505 Law and legal studies
c:vabb:308452,0501 Psychology and cognitive sciences
c:vabb:308459,0504 Sociology and anthropology
c:vabb:308460,0504 Sociology and anthropology
c:vabb:308461,0504 Sociology and anthropology
c:vabb:308463,0506 Political sciences
c:vabb:308463,0504 Sociology and anthropology
c:vabb:308464,0599 Other social sciences
c:vabb:308466,0299 Other engineering and technology
c:vabb:308472,0504 Sociology and anthropology
c:vabb:308474,0504 Sociology and anthropology
c:vabb:308475,0502 Economics and business
c:vabb:308478,0504 Sociology and anthropology
c:vabb:308481,0502 Economics and business
c:vabb:308484,060203 Literary studies
c:vabb:308491,0501 Psychology and cognitive sciences
c:vabb:308493,0505 Law and legal studies
c:vabb:308497,0505 Law and legal studies
c:vabb:308498,0505 Law and legal studies
c:vabb:308506,0504 Sociology and anthropology
c:vabb:308514,0504 Sociology and anthropology
c:vabb:308517,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:308517,0508 	Media and communications
c:vabb:308518,0502 Economics and business
c:vabb:308519,0502 Economics and business
c:vabb:308531,0502 Economics and business
c:vabb:308549,0505 Law and legal studies
c:vabb:308550,0505 Law and legal studies
c:vabb:308566,0106 Biological sciences
c:vabb:308567,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:308567,060104 History
c:vabb:308567,0507 Social and economic geography
c:vabb:308568,060104 History
c:vabb:308572,0505 Law and legal studies
c:vabb:308574,060104 History
c:vabb:308575,0502 Economics and business
c:vabb:308576,0506 Political sciences
c:vabb:308578,0504 Sociology and anthropology
c:vabb:308580,0505 Law and legal studies
c:vabb:308586,0505 Law and legal studies
c:vabb:308589,0505 Law and legal studies
c:vabb:308590,0505 Law and legal studies
c:vabb:308593,0505 Law and legal studies
c:vabb:308594,0505 Law and legal studies
c:vabb:308597,0505 Law and legal studies
c:vabb:308600,0505 Law and legal studies
c:vabb:308609,0505 Law and legal studies
c:vabb:308613,060202 Linguistics
c:vabb:308614,0505 Law and legal studies
c:vabb:308614,0504 Sociology and anthropology
c:vabb:308631,060304 Theology and religious studies
c:vabb:308632,060304 Theology and religious studies
c:vabb:308633,060304 Theology and religious studies
c:vabb:308634,060304 Theology and religious studies
c:vabb:308636,060202 Linguistics
c:vabb:308638,060202 Linguistics
c:vabb:308643,060202 Linguistics
c:vabb:308645,060203 Literary studies
c:vabb:308646,060203 Literary studies
c:vabb:308647,060203 Literary studies
c:vabb:308649,060203 Literary studies
c:vabb:308650,060203 Literary studies
c:vabb:308651,060203 Literary studies
c:vabb:308656,0503 Pedagogical and educational sciences
c:vabb:308669,0102 Information and computing sciences
c:vabb:308670,060302 Philosophy
c:vabb:308670,0501 Psychology and cognitive sciences
c:vabb:308671,0505 Law and legal studies
c:vabb:308675,0505 Law and legal studies
c:vabb:308680,0505 Law and legal studies
c:vabb:308682,0505 Law and legal studies
c:vabb:308691,0507 Social and economic geography
c:vabb:308691,0504 Sociology and anthropology
c:vabb:308693,0504 Sociology and anthropology
c:vabb:308697,0302 Clinical sciences
c:vabb:308699,060202 Linguistics
c:vabb:308699,060203 Literary studies
c:vabb:308700,0508 	Media and communications
c:vabb:308701,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:308701,0508 	Media and communications
c:vabb:308701,0506 Political sciences
c:vabb:308701,0504 Sociology and anthropology
c:vabb:308702,060203 Literary studies
c:vabb:308704,0506 Political sciences
c:vabb:308705,060203 Literary studies
c:vabb:308706,060203 Literary studies
c:vabb:308718,060302 Philosophy
c:vabb:308721,0303 Health sciences
c:vabb:308724,0504 Sociology and anthropology
c:vabb:308725,0506 Political sciences
c:vabb:308726,0506 Political sciences
c:vabb:308727,0101 Mathematical sciences
c:vabb:308735,060203 Literary studies
c:vabb:308739,0504 Sociology and anthropology
c:vabb:308740,0505 Law and legal studies
c:vabb:308742,060104 History
c:vabb:308742,0504 Sociology and anthropology
c:vabb:308744,0505 Law and legal studies
c:vabb:308745,0505 Law and legal studies
c:vabb:308746,0505 Law and legal studies
c:vabb:308761,060203 Literary studies
c:vabb:308761,060202 Linguistics
c:vabb:308762,060203 Literary studies
c:vabb:308767,0599 Other social sciences
c:vabb:308768,060203 Literary studies
c:vabb:308777,060104 History
c:vabb:308778,0502 Economics and business
c:vabb:308780,0502 Economics and business
c:vabb:308781,0502 Economics and business
c:vabb:308782,0502 Economics and business
c:vabb:308783,0502 Economics and business
c:vabb:308784,0101 Mathematical sciences
c:vabb:308787,0502 Economics and business
c:vabb:308787,0101 Mathematical sciences
c:vabb:308809,0699 Other humanities and the arts
c:vabb:308824,0501 Psychology and cognitive sciences
c:vabb:308825,0303 Health sciences
c:vabb:308826,0303 Health sciences
c:vabb:308827,0504 Sociology and anthropology
c:vabb:308828,0504 Sociology and anthropology
c:vabb:308834,0599 Other social sciences
c:vabb:308839,0502 Economics and business
c:vabb:308840,0502 Economics and business
c:vabb:308841,0502 Economics and business
c:vabb:308842,0504 Sociology and anthropology
c:vabb:308843,0604 Arts
c:vabb:308844,0502 Economics and business
c:vabb:308846,0505 Law and legal studies
c:vabb:308846,0506 Political sciences
c:vabb:308846,0504 Sociology and anthropology
c:vabb:308852,0508 	Media and communications
c:vabb:308854,060302 Philosophy
c:vabb:308856,0502 Economics and business
c:vabb:308858,0505 Law and legal studies
c:vabb:308859,0505 Law and legal studies
c:vabb:308867,0506 Political sciences
c:vabb:308868,0504 Sociology and anthropology
c:vabb:308869,0506 Political sciences
c:vabb:308870,0107 Environmental sciences
c:vabb:308870,0501 Psychology and cognitive sciences
c:vabb:308872,0506 Political sciences
c:vabb:308873,0506 Political sciences
c:vabb:308883,060104 History
c:vabb:308886,0504 Sociology and anthropology
c:vabb:308888,0505 Law and legal studies
c:vabb:308893,0505 Law and legal studies
c:vabb:308893,0506 Political sciences
c:vabb:308893,0504 Sociology and anthropology
c:vabb:308895,0505 Law and legal studies
c:vabb:308897,0505 Law and legal studies
c:vabb:308898,0505 Law and legal studies
c:vabb:308899,0505 Law and legal studies
c:vabb:308900,0506 Political sciences
c:vabb:308901,0599 Other social sciences
c:vabb:308903,0106 Biological sciences
c:vabb:308908,0505 Law and legal studies
c:vabb:308924,0504 Sociology and anthropology
c:vabb:308927,0502 Economics and business
c:vabb:308928,0502 Economics and business
c:vabb:308930,0505 Law and legal studies
c:vabb:308938,060104 History
c:vabb:308939,060104 History
c:vabb:308945,0505 Law and legal studies
c:vabb:308946,0505 Law and legal studies
c:vabb:308960,0503 Pedagogical and educational sciences
c:vabb:308962,060104 History
c:vabb:308967,060202 Linguistics
c:vabb:308968,060202 Linguistics
c:vabb:308969,0504 Sociology and anthropology
c:vabb:308970,060202 Linguistics
c:vabb:308973,0101 Mathematical sciences
c:vabb:308974,0506 Political sciences
c:vabb:308974,0504 Sociology and anthropology
c:vabb:308975,0507 Social and economic geography
c:vabb:308975,0504 Sociology and anthropology
c:vabb:308977,0501 Psychology and cognitive sciences
c:vabb:308978,0508 	Media and communications
c:vabb:308979,060104 History
c:vabb:308980,0504 Sociology and anthropology
c:vabb:308981,0502 Economics and business
c:vabb:308981,0299 Other engineering and technology
c:vabb:308986,0505 Law and legal studies
c:vabb:308987,0505 Law and legal studies
c:vabb:308996,0504 Sociology and anthropology
c:vabb:308997,0502 Economics and business
c:vabb:308998,060203 Literary studies
c:vabb:308999,0507 Social and economic geography
c:vabb:309003,0505 Law and legal studies
c:vabb:309005,0508 	Media and communications
c:vabb:309006,060104 History
c:vabb:309007,0505 Law and legal studies
c:vabb:309008,060104 History
c:vabb:309012,0504 Sociology and anthropology
c:vabb:309013,060203 Literary studies
c:vabb:309014,060203 Literary studies
c:vabb:309015,060203 Literary studies
c:vabb:309016,060203 Literary studies
c:vabb:309017,060203 Literary studies
c:vabb:309024,060302 Philosophy
c:vabb:309028,0504 Sociology and anthropology
c:vabb:309035,0504 Sociology and anthropology
c:vabb:309038,060104 History
