Loi,fos_codes
c:vabb:153185,6.4
c:vabb:153186,3.1
c:vabb:153187,1.6
c:vabb:153188,3.1
c:vabb:153189,3.1
c:vabb:153190,3.4
c:vabb:153194,5.6
c:vabb:153234,5.5
c:vabb:153237,6.3.1
c:vabb:153243,5.5
c:vabb:153244,1.2
c:vabb:153244,6.2.1
c:vabb:153246,6.1.1
c:vabb:153247,3.2
c:vabb:153269,6.1.1
c:vabb:153269,5.4
c:vabb:153272,5.2
c:vabb:153297,6.2.2
c:vabb:153300,6.2.2
c:vabb:153307,6.2.2
c:vabb:153318,5.4
c:vabb:153320,5.3
c:vabb:153332,5.5
c:vabb:153343,5.7
c:vabb:153344,5.5
c:vabb:153345,5.5
c:vabb:153350,5.9
c:vabb:153380,6.2.1
c:vabb:153384,3.2
c:vabb:153384,3.3
c:vabb:153413,5.5
c:vabb:153417,5.8
c:vabb:153419,1.3
c:vabb:153420,5.2
c:vabb:153421,5.8
c:vabb:153422,3.2
c:vabb:153423,3.3
c:vabb:153429,5.5
c:vabb:153430,5.2
c:vabb:153431,5.2
c:vabb:153432,5.6
c:vabb:153433,1.5
c:vabb:153434,1.1
c:vabb:153443,5.2
c:vabb:153465,5.2
c:vabb:153469,5.5
c:vabb:153476,6.2.1
c:vabb:153478,6.3.2
c:vabb:153480,5.5
c:vabb:153484,3.1
c:vabb:153495,5.1
c:vabb:153497,6.1.1
c:vabb:153502,6.2.1
c:vabb:153503,6.2.1
c:vabb:153504,5.4
c:vabb:153505,5.4
c:vabb:153506,5.4
c:vabb:153507,5.4
c:vabb:153516,5.7
c:vabb:153516,5.4
c:vabb:153517,3.2
c:vabb:153520,2.1
c:vabb:153521,3.2
c:vabb:153534,3.3
c:vabb:153549,5.3
c:vabb:153551,5.2
c:vabb:153560,5.7
c:vabb:153563,3.1
c:vabb:153566,5.2
c:vabb:153569,5.5
c:vabb:153575,5.8
c:vabb:153582,6.2.2
c:vabb:153583,6.3.2
c:vabb:153588,3.3
c:vabb:153591,5.5
c:vabb:153593,5.5
c:vabb:153595,6.2.2
c:vabb:153600,5.8
c:vabb:153601,6.1.1
c:vabb:153620,5.2
c:vabb:153625,5.2
c:vabb:153626,1.2
c:vabb:153627,5.4
c:vabb:153628,3.3
c:vabb:153634,6.2.1
c:vabb:153638,5.5
c:vabb:153642,1.2
c:vabb:153642,5.8
c:vabb:153643,6.4
c:vabb:153646,5.4
c:vabb:153647,5.4
c:vabb:153648,0
c:vabb:153649,5.7
c:vabb:153651,5.2
c:vabb:153652,5.7
c:vabb:153653,6.1.1
c:vabb:153655,5.4
c:vabb:153658,5.4
c:vabb:153660,5.4
c:vabb:153661,5.2
c:vabb:153666,3.2
c:vabb:153668,3.2
c:vabb:153672,6.2.2
c:vabb:153675,6.2.2
c:vabb:153676,6.2.2
c:vabb:153679,5.3
c:vabb:153680,6.1.1
c:vabb:153682,5.5
c:vabb:153683,5.1
c:vabb:153689,1.2
c:vabb:153692,3.3
c:vabb:153693,5.8
c:vabb:153694,3.3
c:vabb:153697,6.2.2
c:vabb:153700,6.4
c:vabb:153710,5.5
c:vabb:153712,6.2.1
c:vabb:153720,5.2
c:vabb:153723,6.3.1
c:vabb:153724,6.1.1
c:vabb:153726,5.4
c:vabb:153728,5.2
c:vabb:153735,5.4
c:vabb:153741,5.7
c:vabb:153742,5.7
c:vabb:153743,5.4
c:vabb:153747,6.4
c:vabb:153761,5.2
c:vabb:153762,1.2
c:vabb:153762,5.8
c:vabb:153764,5.6
c:vabb:153766,5.2
c:vabb:153768,5.6
c:vabb:153769,6.1.1
c:vabb:153780,5.2
c:vabb:153781,5.6
c:vabb:153781,5.4
c:vabb:153782,5.2
c:vabb:153782,5.7
c:vabb:153785,5.2
c:vabb:153801,3.1
c:vabb:153804,3.2
c:vabb:153805,5.7
c:vabb:153806,3.2
c:vabb:153807,5.2
c:vabb:153809,5.1
c:vabb:153811,6.2.1
c:vabb:153817,5.2
c:vabb:153820,3.5
c:vabb:153820,5.1
c:vabb:153828,6.3.2
c:vabb:153830,6.3.1
c:vabb:153831,6.3.1
c:vabb:165413,6.4
c:vabb:165413,6.2.2
c:vabb:168042,3.1
c:vabb:171012,3.2
c:vabb:171200,5.4
c:vabb:173404,3.3
c:vabb:173517,5.4
c:vabb:175385,1.2
c:vabb:175385,5.2
c:vabb:175385,2.11
c:vabb:176926,6.2.2
c:vabb:179135,6.3.2
c:vabb:179318,6.3.2
c:vabb:185065,3.2
c:vabb:207214,5.3
c:vabb:208024,2.1
c:vabb:208407,5.1
c:vabb:209277,5.2
c:vabb:265153,3.2
c:vabb:265154,3.1
c:vabb:265156,3.1
c:vabb:265156,3.2
c:vabb:265157,3.2
c:vabb:267425,6.1.1
c:vabb:267430,5.8
c:vabb:267434,5.4
c:vabb:267435,5.4
c:vabb:267436,5.4
c:vabb:267437,5.4
c:vabb:267451,5.4
c:vabb:267452,5.8
c:vabb:267454,5.7
c:vabb:267457,5.2
c:vabb:267458,5.2
c:vabb:267459,5.2
c:vabb:267460,5.2
c:vabb:267463,5.2
c:vabb:267465,5.2
c:vabb:267466,5.2
c:vabb:267467,5.2
c:vabb:267468,6.3.1
c:vabb:267469,6.3.1
c:vabb:267471,5.5
c:vabb:267485,5.5
c:vabb:267496,5.5
c:vabb:267497,5.8
c:vabb:267499,5.5
c:vabb:267513,6.3.1
c:vabb:267514,6.2.1
c:vabb:267517,6.2.1
c:vabb:267518,3.3
c:vabb:267519,3.2
c:vabb:267525,6.2.1
c:vabb:267526,5.6
c:vabb:267528,6.3.2
c:vabb:267530,5.5
c:vabb:267532,5.5
c:vabb:267534,5.5
c:vabb:267535,6.2.1
c:vabb:267545,5.5
c:vabb:267567,5.5
c:vabb:267573,3.1
c:vabb:267589,2.2
c:vabb:267594,6.2.2
c:vabb:267612,6.2.2
c:vabb:267616,1.6
c:vabb:267616,3.3
c:vabb:267617,1.1
c:vabb:267618,3.3
c:vabb:267623,5.5
c:vabb:267628,5.2
c:vabb:267641,5.4
c:vabb:267643,6.2.2
c:vabb:267649,3.3
c:vabb:267651,6.4
c:vabb:267666,6.1.1
c:vabb:267667,6.1.1
c:vabb:267679,5.8
c:vabb:267684,5.3
c:vabb:267688,3.5
c:vabb:267689,6.3.1
c:vabb:267697,5.4
c:vabb:267697,5.6
c:vabb:267699,6.3.1
c:vabb:267700,5.3
c:vabb:267713,6.3.1
c:vabb:267715,5.7
c:vabb:267728,6.5
c:vabb:267752,6.2.1
c:vabb:267754,6.4
c:vabb:267755,6.4
c:vabb:267757,5.5
c:vabb:267768,5.3
c:vabb:267775,6.2.1
c:vabb:267820,6.2.1
c:vabb:267865,5.6
c:vabb:267870,5.4
c:vabb:267878,5.4
c:vabb:268026,3.2
c:vabb:268027,5.5
c:vabb:268031,6.3.2
c:vabb:268032,5.6
c:vabb:268032,5.4
c:vabb:268033,1.1
c:vabb:268034,1.6
c:vabb:268041,5.2
c:vabb:268043,5.5
c:vabb:268047,5.5
c:vabb:268051,3.5
c:vabb:268078,5.5
c:vabb:268080,5.3
c:vabb:268082,3.5
c:vabb:268083,3.3
c:vabb:268084,5.7
c:vabb:268085,5.4
c:vabb:268106,6.2.2
c:vabb:268120,6.2.2
c:vabb:268121,5.2
c:vabb:268123,5.2
c:vabb:268124,5.4
c:vabb:268126,5.8
c:vabb:268129,3.1
c:vabb:268131,5.4
c:vabb:268133,5.6
c:vabb:268135,6.2.2
c:vabb:268136,5.7
c:vabb:268137,5.2
c:vabb:268138,6.2.2
c:vabb:268139,6.2.2
c:vabb:268143,6.3.2
c:vabb:268144,6.3.2
c:vabb:268151,6.2.1
c:vabb:268152,1.1
c:vabb:268159,5.5
c:vabb:268160,5.5
c:vabb:268161,5.5
c:vabb:268167,6.2.2
c:vabb:268172,6.2.1
c:vabb:268175,6.2.1
c:vabb:268176,6.3.2
c:vabb:268176,5.4
c:vabb:268177,6.2.1
c:vabb:268196,6.2.1
c:vabb:268198,5.4
c:vabb:268200,5.4
c:vabb:268201,5.4
c:vabb:268208,6.1.1
c:vabb:268210,6.2.2
c:vabb:268211,5.4
c:vabb:268212,5.2
c:vabb:268213,3.3
c:vabb:268221,6.1.1
c:vabb:268224,2.11
c:vabb:268224,5.6
c:vabb:268224,5.4
c:vabb:268229,5.4
c:vabb:268231,5.4
c:vabb:268233,6.1.1
c:vabb:268246,3.3
c:vabb:268247,3.3
c:vabb:268274,6.2.1
c:vabb:268287,5.8
c:vabb:268291,5.5
c:vabb:268292,5.5
c:vabb:268295,2.11
c:vabb:268296,1.2
c:vabb:268303,5.4
c:vabb:268304,5.4
c:vabb:268305,5.4
c:vabb:268306,5.4
c:vabb:268307,5.4
c:vabb:268308,5.4
c:vabb:268315,3.3
c:vabb:268317,5.2
c:vabb:268321,6.1.1
c:vabb:268322,6.1.1
c:vabb:268325,5.6
c:vabb:268336,6.2.2
c:vabb:268337,6.2.2
c:vabb:268338,6.2.2
c:vabb:268344,5.5
c:vabb:268357,6.1.1
c:vabb:268358,3.2
c:vabb:268363,5.5
c:vabb:268365,5.2
c:vabb:268379,5.2
c:vabb:268389,6.2.2
c:vabb:268390,6.2.2
c:vabb:268394,6.2.2
c:vabb:268400,5.5
c:vabb:268403,5.5
c:vabb:268405,6.2.1
c:vabb:268407,6.3.2
c:vabb:268420,5.5
c:vabb:268421,5.5
c:vabb:268423,6.2.2
c:vabb:268424,6.2.2
c:vabb:268427,3.3
c:vabb:268428,3.3
c:vabb:268442,5.8
c:vabb:268444,6.2.2
c:vabb:268458,5.5
c:vabb:268468,6.2.1
c:vabb:268468,6.2.2
c:vabb:268478,5.6
c:vabb:268478,5.4
c:vabb:268479,6.2.1
c:vabb:268482,3.3
c:vabb:268484,6.2.1
c:vabb:268484,6.2.2
c:vabb:268486,6.2.1
c:vabb:268487,5.4
c:vabb:268488,6.2.1
c:vabb:268489,5.5
c:vabb:268490,6.5
c:vabb:268491,5.5
c:vabb:268518,5.5
c:vabb:268521,6.1.1
c:vabb:268522,5.4
c:vabb:268524,6.2.2
c:vabb:268525,6.2.2
c:vabb:268526,6.2.2
c:vabb:268531,5.5
c:vabb:268531,6.3.1
c:vabb:268531,5.6
c:vabb:268538,6.2.1
c:vabb:268545,5.6
c:vabb:268545,5.4
c:vabb:268546,5.2
c:vabb:268547,5.2
c:vabb:268549,5.6
c:vabb:268556,5.5
c:vabb:268558,5.2
c:vabb:268560,5.7
c:vabb:268561,5.3
c:vabb:268565,5.2
c:vabb:268571,5.5
c:vabb:268574,1.2
c:vabb:268581,3.3
c:vabb:268588,6.1.1
c:vabb:268605,5.6
c:vabb:268612,5.5
c:vabb:268618,6.1.1
c:vabb:268628,5.8
c:vabb:268641,5.4
c:vabb:268645,5.7
c:vabb:268647,5.4
c:vabb:268652,5.4
c:vabb:268656,6.3.2
c:vabb:268657,5.2
c:vabb:268657,5.5
c:vabb:268658,6.2.2
c:vabb:268661,6.2.1
c:vabb:268662,5.5
c:vabb:268664,6.1.1
c:vabb:268666,5.8
c:vabb:268667,5.5
c:vabb:268668,5.5
c:vabb:268669,5.5
c:vabb:268704,6.2.1
c:vabb:268705,6.2.1
c:vabb:268711,5.2
c:vabb:268713,5.5
c:vabb:268739,5.9
c:vabb:268741,1.2
c:vabb:268741,5.8
c:vabb:268742,5.8
c:vabb:268743,5.8
c:vabb:268747,1.2
c:vabb:268748,1.6
c:vabb:268750,5.4
c:vabb:268752,5.2
c:vabb:268753,5.5
c:vabb:268754,5.5
c:vabb:268755,5.5
c:vabb:268757,5.5
c:vabb:268758,6.2.2
c:vabb:268759,6.5
c:vabb:268760,5.5
c:vabb:268761,5.5
c:vabb:268762,3.5
c:vabb:268770,3.1
c:vabb:268777,5.7
c:vabb:268793,6.1.2
c:vabb:268794,6.3.1
c:vabb:268797,5.8
c:vabb:268806,5.5
c:vabb:268811,3.1
c:vabb:268811,3.2
c:vabb:268817,5.7
c:vabb:268827,4.1
c:vabb:268827,1.5
c:vabb:268828,4.1
c:vabb:268828,1.5
c:vabb:268830,5.2
c:vabb:268831,5.2
c:vabb:268835,5.2
c:vabb:268849,5.6
c:vabb:268850,3.1
c:vabb:268854,5.2
c:vabb:268857,5.2
c:vabb:268861,5.8
c:vabb:268876,6.2.1
c:vabb:268883,6.1.1
c:vabb:268884,6.1.1
c:vabb:268893,5.7
c:vabb:268897,5.2
c:vabb:268923,5.2
c:vabb:268935,6.2.2
c:vabb:268982,5.8
c:vabb:268983,6.1.1
c:vabb:269047,5.5
c:vabb:269055,5.5
c:vabb:269072,5.5
c:vabb:269083,6.2.2
c:vabb:269125,5.5
c:vabb:269144,5.5
c:vabb:269158,5.2
c:vabb:269159,5.5
c:vabb:269160,5.5
c:vabb:269172,6.2.2
c:vabb:269196,5.2
c:vabb:269203,5.4
c:vabb:269208,6.4
c:vabb:269215,5.5
c:vabb:269217,5.5
c:vabb:269230,5.5
c:vabb:269233,2.7
c:vabb:269235,5.2
c:vabb:269245,6.3.1
c:vabb:269254,6.2.1
c:vabb:269254,6.3.2
c:vabb:269255,6.3.2
c:vabb:269256,6.3.2
c:vabb:269257,6.3.2
c:vabb:269258,6.3.2
c:vabb:269273,5.2
c:vabb:269308,5.2
c:vabb:269310,5.2
c:vabb:269320,5.2
c:vabb:269329,5.5
c:vabb:269337,5.5
c:vabb:269339,5.5
c:vabb:269344,6.3.2
c:vabb:269349,6.3.2
c:vabb:269350,5.4
c:vabb:269351,6.3.2
c:vabb:269352,6.3.2
c:vabb:269354,6.3.2
c:vabb:269361,6.3.1
c:vabb:269364,6.3.2
c:vabb:269365,6.3.2
c:vabb:269366,6.3.2
c:vabb:269367,6.3.2
c:vabb:269368,6.3.2
c:vabb:269370,6.3.1
c:vabb:269371,6.3.2
c:vabb:269372,6.3.2
c:vabb:269376,6.3.2
c:vabb:269380,6.3.2
c:vabb:269381,5.5
c:vabb:269383,6.3.2
c:vabb:269384,6.3.2
c:vabb:269385,6.3.2
c:vabb:269387,6.3.2
c:vabb:269391,5.8
c:vabb:269392,6.3.2
c:vabb:269395,6.3.2
c:vabb:269397,6.3.2
c:vabb:269399,6.3.2
c:vabb:269401,6.3.2
c:vabb:269402,6.3.2
c:vabb:269405,6.2.2
c:vabb:269406,6.3.2
c:vabb:269407,6.3.1
c:vabb:269408,6.3.2
c:vabb:269409,6.3.2
c:vabb:269411,6.3.2
c:vabb:269412,6.3.2
c:vabb:269413,6.3.2
c:vabb:269414,5.6
c:vabb:269414,5.4
c:vabb:269441,5.8
c:vabb:269444,5.8
c:vabb:269447,6.3.2
c:vabb:269448,6.3.2
c:vabb:269449,6.3.2
c:vabb:269450,6.3.2
c:vabb:269451,6.3.2
c:vabb:269452,6.3.2
c:vabb:269453,6.3.2
c:vabb:269454,6.3.2
c:vabb:269455,6.3.2
c:vabb:269459,6.3.2
c:vabb:269461,6.3.2
c:vabb:269462,6.3.2
c:vabb:269466,6.3.2
c:vabb:269467,6.3.2
c:vabb:269468,6.3.2
c:vabb:269469,6.3.2
c:vabb:269471,6.3.2
c:vabb:269472,6.3.2
c:vabb:269473,6.3.2
c:vabb:269474,6.3.2
c:vabb:269486,6.3.2
c:vabb:269490,6.3.2
c:vabb:269497,6.3.2
c:vabb:269500,6.3.2
c:vabb:269502,6.3.2
c:vabb:269503,6.3.2
c:vabb:269505,6.2.1
c:vabb:269506,6.3.2
c:vabb:269512,6.3.2
c:vabb:269513,6.3.2
c:vabb:269514,6.3.2
c:vabb:269516,6.3.2
c:vabb:269531,6.3.1
c:vabb:269532,3.3
c:vabb:269534,5.2
c:vabb:269535,3.3
c:vabb:269538,5.2
c:vabb:269538,5.7
c:vabb:269544,3.3
c:vabb:269545,5.2
c:vabb:269548,5.2
c:vabb:269549,5.2
c:vabb:269551,5.4
c:vabb:269552,5.2
c:vabb:269557,5.4
c:vabb:269563,6.3.2
c:vabb:269564,6.3.2
c:vabb:269582,5.7
c:vabb:269583,5.2
c:vabb:269586,5.2
c:vabb:269588,5.2
c:vabb:269588,5.7
c:vabb:269591,5.5
c:vabb:269593,5.2
c:vabb:269593,5.5
c:vabb:269594,5.2
c:vabb:269595,5.2
c:vabb:269599,5.2
c:vabb:269606,5.2
c:vabb:269609,5.7
c:vabb:269610,5.7
c:vabb:269610,5.4
c:vabb:269611,6.3.1
c:vabb:269612,5.5
c:vabb:269616,5.5
c:vabb:269626,5.2
c:vabb:269628,5.2
c:vabb:269629,5.2
c:vabb:269630,5.2
c:vabb:269631,5.2
c:vabb:269640,3.3
c:vabb:269643,5.3
c:vabb:269649,3.3
c:vabb:269655,5.2
c:vabb:269717,6.2.2
c:vabb:269718,6.2.2
c:vabb:269729,5.1
c:vabb:269734,5.1
c:vabb:269735,5.1
c:vabb:269738,5.1
c:vabb:269740,5.1
c:vabb:269741,5.1
c:vabb:269753,5.1
c:vabb:269759,5.1
c:vabb:269764,3.2
c:vabb:269764,5.1
c:vabb:269769,5.1
c:vabb:269775,5.1
c:vabb:269776,5.1
c:vabb:269781,6.1.1
c:vabb:269782,5.4
c:vabb:269783,6.1.1
c:vabb:269784,6.1.1
c:vabb:269787,1.5
c:vabb:269788,6.3.2
c:vabb:269791,6.1.1
c:vabb:269792,6.1.1
c:vabb:269804,6.1.1
c:vabb:269807,1.1
c:vabb:269808,6.2.1
c:vabb:269809,5.4
c:vabb:269812,6.2.1
c:vabb:269820,6.2.1
c:vabb:269823,6.2.1
c:vabb:269827,3.3
c:vabb:269835,5.1
c:vabb:269836,3.1
c:vabb:269839,5.1
c:vabb:269840,5.1
c:vabb:269841,3.1
c:vabb:269847,5.1
c:vabb:269850,3.2
c:vabb:269851,3.2
c:vabb:269853,5.1
c:vabb:269859,3.2
c:vabb:269864,5.1
c:vabb:269866,3.2
c:vabb:269867,5.1
c:vabb:269870,5.1
c:vabb:269875,5.1
c:vabb:269876,5.1
c:vabb:269877,6.2.1
c:vabb:269878,3.3
c:vabb:269882,5.1
c:vabb:269886,5.1
c:vabb:269889,3.1
c:vabb:269889,5.1
c:vabb:269890,5.1
c:vabb:269892,5.1
c:vabb:269895,5.1
c:vabb:269896,3.2
c:vabb:269903,5.1
c:vabb:269906,3.2
c:vabb:269910,3.2
c:vabb:269911,5.1
c:vabb:269913,3.1
c:vabb:269913,5.1
c:vabb:269917,6.4
c:vabb:269932,6.4
c:vabb:269933,6.4
c:vabb:269942,6.4
c:vabb:269943,6.4
c:vabb:269944,6.4
c:vabb:269950,6.4
c:vabb:269951,6.4
c:vabb:269953,6.4
c:vabb:269958,6.4
c:vabb:269960,6.4
c:vabb:269970,6.1.1
c:vabb:269971,6.1.1
c:vabb:269972,6.2.1
