ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,Alias,when_added,Duration,Level-2 disciplines,Size
fbf260f0-ca39-43c0-a66e-471d27da5d5c,On the role of infinity in physics comparing continuous to discrete and hyperfinite models,2018-01-01,2021-12-31,"['010103', '010301', '010303', '010306', '010307', '010311']",['5b7d2065-1630-4472-a996-d52205dc2fe4'],['9a9b5baa-3653-4c7f-a52c-20cb023d54c6'],[],[],0,48,"['0101', '0103', '0103', '0103', '0103', '0103']",1
f68d198d-f02f-4cf4-8939-c0f5d41bf39f,NEON Neuroprobe for Epilepsy treatment with Optogenetics ,2019-01-01,2022-12-31,"['030623', '050106', '050105', '030223', '050103', '030123']","['98515a4c-85bc-4a1f-92f1-220985660859', '5c25d7ce-5b1d-4980-956a-97b2c63d3322']","['a65489f7-201e-4057-83a2-95ff0fb7bc01', '139a6099-d605-4adc-8aea-f16604081f68']",[],[],0,48,"['0306', '0501', '0501', '0302', '0501', '0301']",2
6532e426-52cb-4da7-bab2-8c3fe53d6aa3,Missionaries in a post colonial context the development of Jesuit business management schools in India,2017-10-01,2021-10-01,"['060102', '060104', '060199', '060403', '060404', '060405', '060407', '060410', '060411', '060412', '060499', '069901', '069902']","['60772b54-f741-41e0-b516-e645c3778fcc', 'c6ccba75-72a1-4696-a38c-b9bcbd42cbfd']","['686cf9b5-adbf-4046-9361-c41438aff052', '67f1fec9-585d-4d12-a178-8bc285cc8593']",[],[],0,48,"['0601', '0601', '0601', '0604', '0604', '0604', '0604', '0604', '0604', '0604', '0604', '0699', '0699']",2
63e6e09e-3425-478e-88f7-7ed2704beffb,Wind Structure Interaction Simulations of Ovalling Vibrations in Silo Groups,2009-10-01,2013-09-19,"['020110', '020199']","['352cf218-7673-40be-8adf-91d7fae84771', '0ba45b57-44c9-4c02-b126-6f240d9166e9', '5b652de3-41b8-4a25-81a1-e036dfb8530f', '2660291d-dbbd-440e-9e87-d121cca8617e']",['3f33b450-5fc3-482d-81fa-63251bdc9746'],['3d3661db-6fa2-49d5-9b62-59b0a7829b65'],[],0,48,"['0201', '0201']",4
1f27dcd3-61fd-4a8f-8a58-afe568ebf9c2,Innovative sorbent materials ,2018-03-15,2019-03-14,"['010402', '020502', '020504', '020507', '020599']","['fddd208f-e0ab-4121-8ac6-42e59c69ed55', '05a541ad-dee5-4a87-a803-32850fe4c25e', 'fa38018f-b7fe-457f-b039-ef79636868f1']",['c03640b3-4e66-4fb5-87a9-a64ac4cdd230'],[],[],0,12,"['0104', '0205', '0205', '0205', '0205']",3
c388b631-fc1f-4a80-8d0c-ffe8269e39ba,Optimizing Feasible Tax Systems with Heterogeneous Populations Solution Methods and Applications to Household Savings,2010-10-01,2017-06-07,"['050201', '050204', '050205', '050209', '050210']","['784fc58b-f661-4827-857c-5a03ede35aa2', '90b3592e-fa1d-4db8-bfc3-8062cce35f3e']",['2d6e4765-fb1b-48da-b941-9076730b0db3'],[],[],0,80,"['0502', '0502', '0502', '0502', '0502']",2
1e1fa7e1-16a4-46af-b2f7-d1f998561057,Europe wide Sewage analysis to Monitor Emerging drug problems EuSeME ,2019-10-15,2021-10-14,"['03030202', '03051003']","['4f788022-78dd-41e2-b629-f7edc41cbc26', '425fd3a0-74f2-4685-b880-955d802195a5']",['6214b1dc-1d47-4bf7-a0bb-ba5898b0be01'],[],[],0,24,"['0303', '0305']",2
39099cca-b824-4346-81bd-0cff84e379a5,Validation of mathematical model of pain characterisation in awake post operative patients undergoing pain treatment,2017-01-01,2017-12-31,"['019999', '010699']",['5b420256-82a4-44da-b7bd-e3ad53a5450c'],['f9fa0c23-606b-4455-99b3-15033bddba43'],[],[],0,12,"['0199', '0106']",1
5a480e0c-b39d-455b-9bda-318f348113ab,Valorisation of Lignin by development of selective enzymatic degradation chemical catalysis and separation of innovative chemical bio Aromatics VALIMATICS,2018-01-01,2019-06-30,"['010602', '010611', '030117', '030217', '030617']",['3474dfc8-5d66-43c4-b6a4-0fa8a1fcdf18'],['632e0796-61dd-4207-8259-f0a305abb591'],[],[],0,18,"['0106', '0106', '0301', '0302', '0306']",1
14e8489c-98c5-4e48-9959-c9ca06ff4343,High resolution brain stimulation for visual prostheses,2020-01-01,2023-12-31,"['02020702', '03062399', '03012306', '02069999', '02020401']","['ecf400bd-b757-4a60-a324-366bcce73153', '8a818f6a-be91-4c27-bdc3-164d4de8d025', '5be4f4a9-8e23-4b68-b065-b72cf2d797c2']","['c9d4fd7e-e66b-465f-8d7e-afe4d6cef1ad', 'e590fc98-5179-468d-ab29-20ba6c44394b']",[],[],0,48,"['0202', '0306', '0301', '0206', '0202']",3
8a49c146-c7f3-4c49-9919-ad9361b5c425,An inkjet characterization platform for improving 3D printed microfluidic devices,2020-01-01,2020-12-31,['02040703'],['59416db9-5d0c-463d-a025-871b1d1be1f1'],['ee7af0ca-408e-4144-85cc-85e5a9eec2ec'],[],[],0,12,['0204'],1
d72e5b0c-82e5-48d0-b8d1-fc7a8e8fb3cf,The Bright Side of Being Wrong The Perils and Paradoxes in the Search for Beneficial Misbeliefs,2019-01-01,2022-12-31,"['060302', '060301', '060399']",['dc6635a5-56db-498e-8818-58a5d70c4016'],['f9c2cdba-d92a-4b47-ba85-f4a4b4dc9740'],[],[],0,48,"['0603', '0603', '0603']",1
09ac1a85-cee7-4c8f-adba-e6d17ba6ea6e,Deployable Telescope for SmallSats,2020-10-01,2023-09-30,['02030104'],"['30299b90-68db-4f5a-bc7e-7c81a8762d85', '4b74615b-d701-4448-a191-cb19436ee4cb']","['0f542fff-9f66-44e3-ae5c-44ee1bcc99fe', '5f3f66cc-4003-4831-9855-1a9db80e799b']",[],[],0,36,['0203'],2
f3da9a31-cf15-4e2e-bf14-4ce7773d2eb0,Co financing Axa Research Fund Improving maternal health by identifying and tackling predictive factors for the development of low back pain during pregnancy and postpartum ,2020-06-01,2020-08-31,"['03011204', '03020301', '03040203', '03040503', '03040504']","['89a6c8c9-fe61-434e-b2be-402f07e8c751', 'b6fd60a4-c095-43ed-9743-67cd091db492']",['07fce545-f735-4a6b-9b40-02814a257bca'],[],[],0,3,"['0301', '0302', '0304', '0304', '0304']",2
1e306f8f-5605-46e1-83f1-19af7819300e,Advanced Liquid Biofuels for advaced engine concepts enabled by advanced wood breeding and catlysis,2020-03-01,2024-02-29,['02079999'],"['783d35eb-c323-4c51-953b-1874d6f09294', '6c4f337a-6fac-41fc-9224-dc0ccbdeeebb']","['f9fa0c23-606b-4455-99b3-15033bddba43', '37e63935-be43-4a88-8f83-97da12647a08']",[],[],0,48,['0207'],2
f5d40381-b68d-40d1-82e6-57c0409f3caf,Cocoa yield and quality response to selected sustainable land management and climate change scenarios in Uganda ,2020-10-01,2025-09-30,"['04010202', '04010203']","['2a083f74-769e-4276-b9a4-2ff55c2d7604', 'bdf09bca-071b-4682-be43-6c47560ecab3']","['41ec1094-0ea6-4da0-9777-3794a9a05440', '6485da95-0569-4fb0-b180-9fb402bc3924']",[],[],0,60,"['0401', '0401']",2
e5b7dd42-3c2e-485c-ac86-65ec3e2c6080,How does cross country variation in auditor regulation affect multinational companies investigating the case of the EU Audit Reform,2020-10-01,2024-09-30,['05020201'],"['0d315fbc-b892-4688-9bda-9b31b5533fbe', '83683dd0-c69d-4553-8de9-622b4c60532a']","['27cf76ad-4f94-4ca8-b223-a1c42ce23860', '86f8abb8-b972-41fd-9a1e-37758cfd4d06']",[],[],0,48,['0502'],2
