ID,Name,Disciplines,Projects,Organisations,Publications,when_added
22c43296-56fc-44cf-b999-62f70e382b03,Paolo Del Fiorentino,[],[],[],['af418e53-7973-40d7-a2e5-885e8a6b1531'],1
c4e51d49-544e-4526-b4ac-0ae175580452,Henk Wymeersch,[],[],[],['a7dfe953-f0cf-4363-bc1e-c234875bcda1'],1
855ad43e-bf88-4402-b17d-bf80157b00ff,Lara Schrijver,[],[],[],['4159c1f1-a3f8-4389-8303-f5379c7deccf'],1
43ce3c70-cc06-41a3-8bb1-22492b5b5354,Laurens Luyten,"['020101', '020102', '020108', '060401', '060402', '060403', '060408']","['a691b6b2-83bb-40dc-a072-b316f5263182', '6feea4fd-11ae-4d48-9bc2-aaba56fd5a1f', '3104e326-6bdb-413e-bd43-51d8942a26a4', '34a183fc-5ba4-45df-b139-5c976620dda9', '880638e4-fcde-4b48-9153-1d3359dfcbe7', '5c9648df-a0da-4ad4-93ef-25c8be531dec', '8eec0c48-0d42-499b-aa41-f58bcbf6c9f0', 'bd73f7e7-bb39-496f-bc87-a28977ada6e8']","['6301965e-32cc-4047-9e65-daed891a4240', 'cd97bb28-9200-4ff3-866a-2035c5b30289']","['642b0845-4cfe-4acc-9117-8076438998f4', '04cfafdb-d673-462d-b53c-aad5ba9008d8', '48ffc608-a13c-4c30-b8a8-18a0b3fc9843', '759891cf-e84e-4cf8-bb75-7eb02a0c5155', 'ebbc7c83-432c-45d6-b93c-79e8a2824975', 'eefd97df-e751-4219-881b-e58d6fd5f567', '672537dd-da94-4fa6-a292-4084691635e9', 'bda833c5-1772-4c65-84c6-1474579d0baf', '0cdf02de-08fd-4067-a42b-7bdf16131670', 'c8b1ee88-bd43-4e66-b77b-00b36620608c', '501a3e5e-6f05-4df0-be64-bd749a729a8e', 'd1da497b-4165-4a7e-84a8-e7fb35d4266f', 'c104dccd-c84b-405a-935e-b79d4cf76f20', 'f5d85bec-7bbd-4290-b8b0-20899a353007', 'b426e3fb-dede-4884-9e31-9bb6d9f8f373', '02ac31fe-b384-41a6-a7eb-e25000eec732', '7441e855-6fe5-440e-ae49-76c2a68266b8', 'ebc66a44-88d8-4ab5-8bee-0b7950be194e', '7f84f07f-c703-4df4-800d-f260972f3f12', '0c744e4b-c62e-4bbc-ab76-8cfa70b0c063', 'a1132155-dd0f-43c1-b496-32418efe34eb', '51fc1e88-9bb9-4766-8d9a-420ae9301c0d', '47dbf1b0-436f-4964-9878-80b3bad41653', '1659b428-3c29-4796-8a14-4a294480f2c6', '30d74400-7f1d-420c-8086-bda7b8c1455c']",1
96a7c47f-4bc5-4d7f-8a91-84ee79bb3462,Lennert Jacobs,"['02020209', '02020502', '02020204', '02080403', '02080401', '02020205', '02020102', '02020211']",['30897b4e-3e56-4f88-b06c-b189b9affc71'],['f2406cda-0683-427d-8217-e1071d3a5e3c'],"['6e16c7cb-6c7d-43f8-839e-cbeede5cee65', 'aeb1b0c3-79be-4ee0-be1f-c90b633661ad', '8e7a5e8b-936b-4c5a-bb58-5340d84b52ba', '4f99ad2c-e622-453d-9c48-34422ad3b1cb', '0dd36f11-0296-49ad-baf6-3488ab6e8332', 'e8c0b0cd-513d-4b5f-b3c3-7c6c4179cde6', '2dff7096-c41c-4bc7-9ab5-c938330f9dfa', 'c245e523-92f1-4a65-be06-5e22fb593557', '0286c2e2-220d-48a5-914d-5fe68ec55454', '560b801f-48b3-42fc-a0a6-92803ff25a08', '0aca671a-090e-47e1-9465-db1859ce223c', '21b56b9e-7fb6-4897-93d0-64e1b4c6edd1', '8b163fd0-0862-453f-826f-70fc0f3f2ca2', '3e3fd71e-dc7c-467e-a96f-3fac1cd2ef25', '004d3bb7-4524-4f2c-9f55-abc323c98c64', 'ba0749b8-ee7d-43f8-b08d-726f7a20443e', '88381f97-3fd3-46bd-808d-43bf0e3a6dfc', '56a615d6-9211-44c4-9375-ae8d5d65e96a', '99605881-82d2-4258-a314-6bf783d07af5', 'dbd80e47-fa92-403c-8ee2-9c65ed908c73', 'c1af4731-ba57-450a-aadc-bd65730cba73', '03dea42f-99a0-4944-bd8b-8730cfbdadc0', 'b4526b45-3577-4a5b-8481-03f96e8146a8', 'ca1648ca-4081-4b8c-a0c3-64e146ff5372', 'dc1711b1-2e51-4377-a029-d51eb88270ed', 'e5c86a1e-3cd1-42dd-96c7-7cac8d76bac1', '1e9cd7a4-e8f4-46e9-b463-9ae1b6b8eade', '61305e60-fc71-4c9a-b984-f47625fa0f22', '852a87c5-c9b8-43af-a3cf-6912a47ddbf5', '2bf15e2b-0714-4e00-8a1a-8cdc9aa86c3f', 'f08a89f7-470f-49b0-821c-e7218249a8df', 'a6eb467a-f383-4cd3-b3f6-24a2affd932d']",1
b096f87f-7a06-4a83-9b1d-922fff5e7147,Paolo  Del Fiorentino,[],[],[],['4e6aeaa8-5fbc-4ad2-a546-556230b0e763'],1
5520264d-b3ee-46c6-b3e7-88adfc6fa0f2,Luc Vandendorpe,[],[],[],['a68f19d0-38d0-4fa7-a238-72726a792a81'],1
0430ab21-49db-4337-a0fc-a526426ab04d,Katrien Vandermarliere,[],[],[],['31c07f84-1359-4a07-b0e9-342978e41c45'],1
40e6d6e0-c4bf-4dc4-bfeb-de43c602af54,Daniele Capirone,[],[],[],['2c0094c1-02da-40c1-afda-8a368c50886c'],1
929ac672-10d1-4e69-8939-80db69c86c7c,Michiel Dehaene,[],[],[],['c2c2fcd7-f906-4acf-985f-334cfb8bf8aa'],1
