ID,Name,Disciplines,when_added
86f5f452-38e3-4fe1-ba26-686a6fbc5a7a,Research Group Neurophysiology,"['030123', '030623', '050103', '050105', '050106']",1
52e720c3-9f3a-4719-8250-c27aa11188d5,Electronic Circuits and Systems (ECS),"['020299', '020209', '020303', '020207']",1
ab3545a5-11ef-4067-84dd-9cb5ddc3b2ea,Micro- and Nano Systems (MNS),['020204'],1
d20e9e32-9776-41c1-a718-3ab557659231,"Membrane Separations, Adsorption, Catalysis, and Spectroscopy for Sustainable Solutions (cMACS)",['020401'],1
