ID,Name,Disciplines,when_added
139a6099-d605-4adc-8aea-f16604081f68,Department of Electronics and information systems,"['020801', '020206', '010201']",0
a65489f7-201e-4057-83a2-95ff0fb7bc01,Department of Head and Skin,['030107'],0
9a9b5baa-3653-4c7f-a52c-20cb023d54c6,Centre for Logic and Philosophy of Science,"['060399', '060301', '060302', '060303', '050304', '050801']",0
58b47c4b-995b-4a44-a894-62b6e44eb31b,Environmental Biology,"['010606', '010610', '020406', '030301']",0
0e8b1554-fd72-44f0-8605-ce2215426914,Bio-Physics,['030104'],0
