ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,Alias,when_added
8c9dd2b5-9fda-4272-8c6d-e633f58b1a85,Development of novel catalyst materials for green chemistry applications ,2012-01-01Z,2016-12-31Z,"['010401', '010406', '030505']","['05a541ad-dee5-4a87-a803-32850fe4c25e', '93fafbde-4c16-401f-861e-a6ebd51b492a']","['c03640b3-4e66-4fb5-87a9-a64ac4cdd230', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230']",[],[],1
29bce261-02d9-463a-a059-cd7e248e1a5b,Electrochemistry and nanostructured electrocatalysts for tackling substance abuse ,2020-01-01Z,2022-12-31Z,['01040105'],"['425fd3a0-74f2-4685-b880-955d802195a5', 'b66cbcd6-4c18-44e6-8d15-c19350644585']","['6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2']",[],[],1
76c39dce-9f0d-42e8-bdd1-b8552cdd7e02,Eurocode Compliant Optimal Design of Steel Structures,2016-08-08Z,2020-09-03Z,"['020103', '020101', '020102', '020108', '060401', '060402', '060403', '060408']","['352cf218-7673-40be-8adf-91d7fae84771', 'cc7cd4a9-3ebc-4b55-89c1-45d293ffae2e', '198a58aa-b071-4169-be1b-b0a49916b9b3']","['3f33b450-5fc3-482d-81fa-63251bdc9746', 'cd97bb28-9200-4ff3-866a-2035c5b30289', '308f48c7-94d0-4a90-a088-ec6903e270e3']",['1b75f2a2-3e7d-4344-a79e-6d8690c218e6'],[],1
3edec194-a804-401e-809e-c055071833c5,Influencing interactions with molecules by controling surface modification on metal oxides ,2016-10-01Z,2017-09-30Z,"['010401', '010403', '020502', '020504', '020507', '020599']","['05a541ad-dee5-4a87-a803-32850fe4c25e', '4579047e-5271-49d4-b746-e02cecae0870']","['c03640b3-4e66-4fb5-87a9-a64ac4cdd230', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230']",[],[],1
204e3226-152b-4aab-b0d1-f47cbb1488ba,Model order reduction techniques for the prediction of railway induced vibration in the built environment,2020-10-01Z,2024-09-30Z,"['02011001', '02010102', '02030703']","['7b5a4e35-7678-4f6e-a904-8047a717e121', '198a58aa-b071-4169-be1b-b0a49916b9b3', '0ba45b57-44c9-4c02-b126-6f240d9166e9']","['3f33b450-5fc3-482d-81fa-63251bdc9746', '308f48c7-94d0-4a90-a088-ec6903e270e3', '747d1a0b-691d-45f8-8e9f-978e4eb2a7ac']",[],[],1
f9b6a291-25ac-4cea-bf21-016344e4f789,Ti activated nanoporous materials for the photocatalytic reduction of CO2 ,2015-01-01Z,2018-12-31Z,"['010402', '010407']","['fddd208f-e0ab-4121-8ac6-42e59c69ed55', 'c9d91f49-7e1a-40f1-96fa-c10410c41a55']","['c03640b3-4e66-4fb5-87a9-a64ac4cdd230', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230']",[],[],1
f608e839-4658-43fe-a8d0-27344a262bf8,Physiologically based pharmacokinetic models for the accumulation and effects of microcontaminants in harbour seals Phoca vitulina and harbour porpoises Phocoena phocoena ,2011-10-01Z,2013-09-30Z,"['010601', '010606', '040201']","['e39a6ed3-5624-458e-b504-2206a8e66502', '4f788022-78dd-41e2-b629-f7edc41cbc26', 'ddf96a48-40b8-41b4-9c15-81738f476c16']","['60be1df0-665a-4f41-bd02-305f1857541c', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '60be1df0-665a-4f41-bd02-305f1857541c']",[],[],1
b904bf60-bd86-4a42-be37-e3dbdc5a6392,Analysis of PFR metabolites and bisphenols in urine samples ,2017-10-15Z,2018-12-31Z,"['030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599']",['4f788022-78dd-41e2-b629-f7edc41cbc26'],['6214b1dc-1d47-4bf7-a0bb-ba5898b0be01'],[],[],1
0518b3f8-b953-4e66-ac8d-0d58578e24c4,Artificial clathrates for safe storage transport and delivery of hydrogen ARCLATH ,2020-01-01Z,2021-06-30Z,['02050403'],['fddd208f-e0ab-4121-8ac6-42e59c69ed55'],['c03640b3-4e66-4fb5-87a9-a64ac4cdd230'],[],[],1
f1fc8897-7251-4171-8c04-d5331c01844c,Orchestrating Solidarity Third World Agency Transnational Networks and the Belgian Mobilization for Vietnam and Latin America 1960s 1980s ,2008-10-01Z,2013-05-18Z,['060104'],"['60772b54-f741-41e0-b516-e645c3778fcc', '7e9f3fba-af47-4edf-9e67-9ead4d4b00db']","['686cf9b5-adbf-4046-9361-c41438aff052', '686cf9b5-adbf-4046-9361-c41438aff052']",['88b57bc7-7bb0-4ef6-95d3-34c2404604fa'],[],1
e2d7ece5-1dbb-42e0-a504-005f863abc11,Valorisation of inorganic residues through design to hierarchically structured materials for the use in industrial applications ,2013-11-01Z,2018-04-30Z,"['010401', '030505']",['05a541ad-dee5-4a87-a803-32850fe4c25e'],['c03640b3-4e66-4fb5-87a9-a64ac4cdd230'],[],[],1
9684cb85-8d92-41c4-910b-4a7a84d284ea,Trajectory towards industrial production scale for FUNMEM membranes ,2020-04-01Z,2021-03-31Z,"['01040307', '01040607', '02040501']",['05a541ad-dee5-4a87-a803-32850fe4c25e'],['c03640b3-4e66-4fb5-87a9-a64ac4cdd230'],[],[],1
