ID,Name,Disciplines,WoS ID,Disciplines WoS,vabb ID,Disciplines vabb,Persons,Size,Alias,when_added
6ccedaee-2fd2-410a-92cb-27e5d91b7204,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
29878940-8c95-4bfa-ab70-a567df20c9fe,A decade of experience with deep brain stimulation for patients with refractory medial temporal lobe epilepsy,[],[],[],[],[],"['a428c886-981e-4144-b657-06576d747033', '67035923-1ee9-46a0-bfe4-cce5ff94ba4b', '30b0c529-12ae-4a20-87b3-f6294f412c7a', '66f35856-ab08-41e8-b92f-e857d3d7409b', '3add7beb-6423-43cd-892c-fc8ed2623d47', '98515a4c-85bc-4a1f-92f1-220985660859']",6,[],1
13e81719-d24c-4447-bc54-17f29498ccab,Validation of the two-level approach for the solution of the EEG inverse problem in an anisotropic realistic head model,"['0202', '0103']",['000264019000181'],"['0202', '0103']",[],[],"['5bc2a626-4b88-449a-9378-65cb1175f38e', '28a4f672-e666-490f-b8d3-fb1d2e0d39a9', '35985fa7-a739-4e0e-8edc-6f1ea8ef5d72', 'f8eb5cd1-fc31-4631-aa3a-cf761b688d85', '98515a4c-85bc-4a1f-92f1-220985660859', 'fc54d1e2-8358-4690-89bd-44a0b478fae5']",6,[],1
d604f9e7-3bdd-4fdd-96b6-fde3da66ddd0,Vagus nerve stimulation... 25 years later!: what do we know about the effects on cognition?,"['0306', '0501', '0501']",['000341466600006'],"['0306', '0501', '0501']",[],[],"['67035923-1ee9-46a0-bfe4-cce5ff94ba4b', '7a3fe6f7-6ff0-403b-b8c8-ab6c873a9bd3', '3add7beb-6423-43cd-892c-fc8ed2623d47', '72240596-6336-4a2b-85c3-a99262430855', '98515a4c-85bc-4a1f-92f1-220985660859']",9,[],1
e05d600f-c9ff-4c00-a6d1-97ff560dabea,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
c341dfa3-a1fc-403b-a8ad-df415e4c799f,Demystifying the Mystery Room,['0603'],['000469978300002'],['0603'],[],[],['5b7d2065-1630-4472-a996-d52205dc2fe4'],1,[],1
2a385711-a182-47fb-89ad-d27243607eee,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
381015ec-117b-493a-874c-eef08dd2f726,Local infusion of neuropeptide Y has anti-epileptic effects in fully kindled rats,[],[],[],[],[],"['7a3fe6f7-6ff0-403b-b8c8-ab6c873a9bd3', '52013c7c-298f-4d86-94b1-779e81dde567', '66f35856-ab08-41e8-b92f-e857d3d7409b', '23e541fd-7266-4f05-9918-673bc6eb73b1', '67035923-1ee9-46a0-bfe4-cce5ff94ba4b', '98515a4c-85bc-4a1f-92f1-220985660859']",9,[],1
2c94f12b-dd4c-4267-b9e4-fb420f366c6d,Modulation of seizure threshold by vagus nerve stimulation in an animal model for motor seizures,['0306'],['000275216400009'],['0306'],[],[],"['f62fb1d1-8a5f-4565-9a34-e97777eed3d2', '9fadffae-4ebf-4132-97c8-3a4398a0abad', '7a3fe6f7-6ff0-403b-b8c8-ab6c873a9bd3', '23e541fd-7266-4f05-9918-673bc6eb73b1', '67035923-1ee9-46a0-bfe4-cce5ff94ba4b', 'fcc0af3e-352e-4bf7-9240-40031137b0c8', '98515a4c-85bc-4a1f-92f1-220985660859']",8,['4d80224e-4e0a-4fe3-ac6d-91a9ae45d22f'],1
38fdce6d-ef2c-44d2-ad1d-dc4370715a7f,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
4d2fb76b-22c5-4b37-ab32-f4ee8a878919,Lost in Space and Time: A Quest for Conceptual Spaces in Physics,[],[],[],[],[],['5b7d2065-1630-4472-a996-d52205dc2fe4'],5,[],1
f6092c3c-12f8-4a9d-993f-eda0df22a7ef,Coupled half-mode cavity-backed slot antenna for IR-UWB in air-filled SIW technology,[],['000459711501184'],[],[],[],"['b9c29bc4-196f-4d1b-9c96-a13dec6d88e5', '7d4c1eb6-4ea9-45ad-8a49-2982c1f302dc', '5c25d7ce-5b1d-4980-956a-97b2c63d3322', 'ca6546ea-344f-4812-b230-e946a19498f3']",4,[],1
