ID,Name,WoS disciplines,Disciplines,Persons,when_added
eb2daff3-edae-422f-b519-7e046c3c25a6,Expression divergence between Escherichia coli and Salmonella enterica serovar Typhimurium reflects their lifestyles,['000318812000008'],"['0106', '0306', '0306']","['3218be84-044b-4365-9bd3-6fb530b8a894', 'eb431839-45fa-49c4-9873-46c1c935a81f', '0633e0a5-c13a-43c5-bb0e-1dd505a6246f', 'eb3d9780-db85-4532-9320-c17fbf6f52bc', 'c9a1bc69-4c22-4a20-a214-28b22757f8ee']",1
becd7d9b-71b3-4ae9-8b36-ba52e6ec1e68,Where people and cars meet: social interactions to improve information sharing in large scale vehicular networks,[],[],"['a932366f-b0bd-4908-9f48-07d25d3fd912', 'a932366f-b0bd-4908-9f48-07d25d3fd912', 'a932366f-b0bd-4908-9f48-07d25d3fd912', 'a932366f-b0bd-4908-9f48-07d25d3fd912', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '7331bec8-86e7-46e4-a9d5-5c8faeb4c79a', '7c4ac1cb-1716-4773-a581-a294d2cfd148']",1
dc12f297-ae8f-4cfd-8bd9-39031aed404b,The AI-2 dependent regulator LsrR has a limited regulon in Salmonella Typhimurium,['000280563100013'],['0306'],"['39cf72e7-dc5b-49c2-a081-65c9fdc24142', 'cccbdc04-be93-4e3e-a46b-2466760646e6', 'c9a1bc69-4c22-4a20-a214-28b22757f8ee', 'be29c71d-8643-465c-aae4-4ce5ba6352c5', 'eb3d9780-db85-4532-9320-c17fbf6f52bc', '082b880d-29ab-4399-982b-54ef1b21dacb', 'a2020c4a-a574-4bbc-9122-213e4b1a2cc8', 'c11649d8-6e55-41bd-9677-742a98b1aa98', '15cc1435-94b4-40cf-87f5-1167583c45e2', '931450bf-2f74-4e33-9f89-c07d82d2d27d']",1
fa39c439-2c0b-420b-b639-2469540d9763,EU human rights and democratization policies An introduction,['000449918800001'],[],"['8d991f4d-1e5d-46e7-befa-a009b746cbaa', '174a1b84-b4d0-4270-88df-c5026ba564c3', '64d738ef-1aa7-4598-b294-baf8231b77d4', 'be6d8e43-e69e-46e7-a263-649de198589e', 'cbc2ff22-310b-4ba0-84d0-0613b844b792', '3c00f8e1-032a-435f-b40c-49b75c7a5f1f']",1
ac2615ae-8578-44ba-8dd8-700c6f581412,Foreign direct investment and human development: The law and economics of international investment agreements,[],[],"['6d476b34-08dd-4a4c-a845-be703f1e237f', '8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'e0072902-71e7-437e-a71e-7c0a690e45b3']",1
9b2c2415-cce6-490f-b9c7-463099db2771,The legalization of corporate social responsibility: towards a new doctrine of international legal status in a global governance context.,[],[],"['b58b6173-c58c-4cb3-8b86-0560b3bb6979', 'a895ade1-c3c1-4367-8dbe-62169576bbcf', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']",1
a58077ec-5611-48ae-8070-931ec76dd26c,Use of fast-acting insulin aspart in insulin pump therapy in clinical practice,['000478906100002'],['0306'],"['7298b9cb-e762-49f5-a211-50d4d3e25cc3', '71adda11-1c95-4efe-8810-1a74ec0d2bd7', 'e3e676ae-63c0-4025-b830-6197b879cee5', '9d13db60-cd8e-4e4d-bac7-98525985104a', 'fe5edbc6-d38b-4e6d-a36b-92a841332387', '0713edb8-373d-4446-bddf-39ad21abab41', '317b1d90-f470-4dc3-b8f4-d036dc9ea80e', '6a8a7b79-8723-40a9-ae98-b78d76591482', '9e894bc4-286f-413e-a759-b715ab85ba1c', '665f133f-29f0-438e-aa52-be84b50fa7ae']",1
1bf6e731-3280-495b-a3a7-e317d6ee47c5,Canagliflozin added on to dipeptidyl peptidase-4 inhibitors or glucagon-like peptide-1 agonists with or without other antihyperglycaemic agents in type 2 diabetes mellitus,['000329196902130'],"['0306', '0306']","['7298b9cb-e762-49f5-a211-50d4d3e25cc3', '2b0fb125-ec7e-458f-a2f1-31a676b2f9d5', 'f2e0c26f-9e48-4112-9906-af2317f7503d', '912eefdc-ff22-4217-9d58-2100cbe3a3fb', '727e6a8d-aa20-4b7b-871b-0738fe482744', 'ceaac58b-5ce1-4973-a9eb-0bb7d548dfe4', '9b4310ae-7a66-469d-95ca-bc94d503ef6f']",1
bd8059e3-76ca-4248-9a76-faa88511bc2b,"Systemic dissemination of MCMV HaNa1 via non-productively infected leukocytes between nose, lymphoid organs and salivary glands upon oronasal exposure",[],[],"['b6f7bd9c-7140-415f-b428-8b47a514d247', '98d199c6-40e7-4c28-a857-2f84da1bf9ed', 'be3a0f5c-6096-4638-b314-0ba9de323921', 'cb9a33f2-9ee4-4b68-999e-887655892f50']",1
6e91982b-3a5a-4c3f-a60d-0e846bc296e7,"Access to a main alphaherpesvirus receptor, located basolaterally in the respiratory epithelium, is masked by intercellular junctions",['000416891400058'],[],"['71ddbbcd-0eab-4ced-b347-cfa820811016', '60dc3892-343b-4eef-8b60-55976c3ea642', 'd6e0b540-cce3-44fb-bb14-ce16036864d3', 'd6e0b540-cce3-44fb-bb14-ce16036864d3', 'b6f7bd9c-7140-415f-b428-8b47a514d247', '68d2c3f3-6f89-47af-b507-606746f552e6', 'fc53f343-13e4-480c-8dba-14f12507598b', '1984d00e-4b71-4116-887e-f59d430d3602']",1
