ID,Name,Disciplines,Projects,Organisations,Publications,when_added
7508a2a1-0431-464c-995c-22ff3550b0ff,Suman Pokhrel,[],[],[],"['e54f3aba-7b12-487d-b924-e6e7cb46f834', 'bfdb994b-74e5-459e-bcfd-ed4815d5da84']",1
9773d1f6-1cbd-41e8-a089-4944ecfb3b95,Till Kühn,[],[],[],"['c6e6856a-3494-4605-8b05-0beb7216726b', '457a3284-fca9-4d30-930f-7d9b5acdfe1c']",1
1fbb3c40-e863-41f2-a96a-81d93a34e8ea,Ian R. Berry,[],[],[],"['2ccce6db-09e0-474c-9bd6-fec9d7ef7ea6', '0057fdcc-cf2f-4745-86a9-cfd3ff7183d7']",1
b862e704-5075-46e1-9127-feb4eecd27ae,Richard S. Spong,[],[],[],"['d2c217ab-5cd6-425d-8c59-efae0628c0df', '0057fdcc-cf2f-4745-86a9-cfd3ff7183d7']",1
f1a3ddc5-09a4-4033-9088-32bf227ebf8f,J. Knoery,[],[],[],"['9f6a8c57-c53d-43a3-b2ca-1d0d086e72ee', 'f1b7f11e-6068-4740-8e6a-1e6d3fd87ea7']",1
ed680187-f4f8-4207-b206-efaa3fedb9d2,Ivo Lambrichts,[],[],[],"['75a8d9e1-2443-42b0-85ed-0bd32d515dec', '423aa829-c365-4eb9-a7cc-fad209a21df3']",1
7107a038-3764-45f8-8181-1df9a063d542,V. Pede,[],[],[],"['64fe19b0-1ca5-4cc7-b230-a5bbda6f9b6b', 'd2bf6635-41b0-4289-a383-eea777738a50']",1
02ffd296-63a1-4976-a383-aa1032111061,Giorgio La Fata,[],[],[],"['62a3e061-fe64-439e-aec3-f042254675c7', '31d95b34-b8b3-4f80-b7d4-a605d8604787']",1
734ed003-d63c-40b4-81c4-f29231228f92,Nigel P. Burrows,[],[],[],"['918aa95c-58c1-4692-8dc2-017f8b76cfbe', '463018ca-3202-408a-8de5-39b58a3592de']",1
e95f1a47-831a-4592-9a8e-ebd68fba7d04,David Bouyssié,[],[],[],"['9c02539b-f2d7-46c5-b307-6ecdbd8c2d82', 'e26682e3-1bc6-497c-8c82-9e67b2dc8b37']",1
