ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
88684956-dd0e-44c1-b0c6-a2fd3552afb3,Acromegaly in Belgium a multicentre clinical outcome study,2010-10-01Z,2014-09-01Z,[],['7298b9cb-e762-49f5-a211-50d4d3e25cc3'],['843bb2fb-e499-4e64-b7f7-20c646bb60bd'],[],1
6ef4020f-3fa1-4f28-b3bd-6951a5b2a706,Synthetic biology building a microbial pathway with characterized biomodules according tot electrical circuit principles ,2008-10-01Z,2014-02-18Z,[],"['eb3d9780-db85-4532-9320-c17fbf6f52bc', 'dbf87248-14ca-485f-a513-cdcb850f334a', '09447b32-8f7a-4d8f-be51-20483b847ca2', 'be29c71d-8643-465c-aae4-4ce5ba6352c5']","['e9519ece-fc8b-4742-9727-08b1c53d6d07', 'c9d4fd7e-e66b-465f-8d7e-afe4d6cef1ad', 'e9519ece-fc8b-4742-9727-08b1c53d6d07', 'e9519ece-fc8b-4742-9727-08b1c53d6d07']",[],1
93489f69-cb0a-4643-afbd-f4c3fc67b8c2,Religious toleration and peace RETOPEA ,2018-05-01Z,2022-04-30Z,"['06030401', '05030110', '05030303', '05040107', '05060213', '05080505', '06010407', '06010422', '06030410', '06040505', '06040506', '06040707']","['8d991f4d-1e5d-46e7-befa-a009b746cbaa', '4e9ce648-a2b2-4c57-92f9-fe91b2c6b5a7', '8eef1b03-c90a-4bc4-85a3-0ae5ac98f677', '0b6982d2-d5ba-465a-a56f-9faf15900c24', '7e9f3fba-af47-4edf-9e67-9ead4d4b00db', '233d423f-78a8-403c-8cd3-eb68a3f2f40d']","['612605e0-ead6-4e3e-b258-8a10285564f1', '873a99ba-1ecc-4e92-97d6-75f35509ef4e', '7d62c0ab-5a6e-45e9-8740-6a6c929356fe', '71dfc18b-6707-4cd3-96a8-f08ab660f8ed', 'ab29e1ef-f2e8-480c-a5e4-6c533bda3f4d', '686cf9b5-adbf-4046-9361-c41438aff052']",[],1
5024afae-536f-41a5-82a6-79287db37484,Internation Coordination Action on effectivness of voluntary sustainability standards for United Nations forum on sustainability standards ,2020-01-01Z,2022-12-31Z,['05050214'],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],['612605e0-ead6-4e3e-b258-8a10285564f1'],[],1
cb7124c0-a2b9-4f23-836f-aeb888013c16,The beta cell in type 1 diabetes interaction with the immune system ,2012-09-01Z,2017-02-21Z,"['030109', '030609']","['20defeaa-7bfe-4ff1-85b1-f2f9300a21fe', '0f3f2b68-23c6-4fe0-874f-db7b32c2e674', '7298b9cb-e762-49f5-a211-50d4d3e25cc3']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",['c003bd35-6589-4148-bbac-d678677b650f'],1
9b7e0bfd-238a-49f3-910f-b534b7b5791f,Toward a Global Health Law Regime for Effective Global Health Governance,2016-07-25Z,2018-04-17Z,"['050502', '050599']","['8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'fd61eeef-be15-4173-af9f-c289e12131fb']","['612605e0-ead6-4e3e-b258-8a10285564f1', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
b16053bf-f4ee-449e-a363-b2797535345d,The legalization of corporate social responsibility towards a new doctrine of international legal status in a global governance context ,2011-12-20Z,2017-04-24Z,['050502'],"['8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'a895ade1-c3c1-4367-8dbe-62169576bbcf', 'b58b6173-c58c-4cb3-8b86-0560b3bb6979']","['612605e0-ead6-4e3e-b258-8a10285564f1', 'da14fbf2-a049-4201-a191-70f94798cfeb', '9584090f-262f-4eef-a81c-5307d8f80be9']",['9b2c2415-cce6-490f-b9c7-463099db2771'],1
e25f768c-188c-4142-a485-5b2a22730707,Single cell RNA and small non coding RNA sequencing to identify biomarkers for pathogenesis and therapy response in type 1 diabetes ,2019-01-01Z,2022-12-31Z,"['03010902', '03011903']","['01c0fe09-cfd7-4570-b1c5-2e709738b6c7', '7298b9cb-e762-49f5-a211-50d4d3e25cc3']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",[],1
a7188267-c292-4b7f-9840-938320afc396,Dealing with multiple mediators in causal mediation analysis,2017-01-01Z,2019-12-31Z,"['010107', '010103']","['252e7cd9-2a46-4105-b7e4-3b3bb86f4ce2', '1592bfa9-0dfd-4a92-8f2b-6c54420fcf5a', '0e372ef9-b178-4350-b169-2b8a6a475e9b']","['3f7009cc-522d-4a7a-9a4f-e1d99123f630', '3f7009cc-522d-4a7a-9a4f-e1d99123f630', '77a340c9-7679-4f7b-99d0-8c3e366ddce7']",[],1
03ac8a94-614a-4357-91c3-359a8942f4f8,Accountability for human rights violations by international organisations ,2008-01-01Z,2011-12-31Z,['050502'],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],['612605e0-ead6-4e3e-b258-8a10285564f1'],[],1
